<S> <S>+BSTag
"Hadi,	<unk>
kobaylar	kobay <n> <D_lA> <v> <t_aor> <3p>
kobaylar	kobay <n> <3p>
kobaylar	kobay <n> <pl>
kobaylar	kobay <n> <pl> <3s>
kobaylar	kobay <n> <pl> <3p>
bitti!"	bit <n> <cpl_di> <3p>
hüzünlü	hüzün <n> <D_lI> <adj> <Djn_0> <n> <3p>
hüzünlü	hüzün <n> <D_lI> <n>
hüzünlü	hüzün <n> <D_lI> <n> <3s>
hüzünlü	hüzün <n> <D_lI> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
sesle	sesle <v> <t_imp> <3p>
sesle	ses <n> <D_lA> <v> <t_imp> <2s>
sesle	ses <n> <D_lA> <v> <t_imp> <3p>
sesle	ses <n> <ins>
sesle	ses <n> <ins> <3s>
sesle	ses <n> <ins> <3p>
ve	ve <cnjadv>
kollarını	kol <n> <pl> <p2s> <acc> <3s>
kollarını	kol <n> <pl> <p2s> <acc> <3p>
kollarını	kol <n> <pl> <p3s> <acc>
kollarını	kol <n> <pl> <p3s> <acc> <3s>
kollarını	kol <n> <pl> <p3s> <acc> <3p>
kollarını	kol <n> <p3p> <acc>
kollarını	kol <n> <p3p> <acc> <3s>
kollarını	kol <n> <p3p> <acc> <3p>
kavuşturup	<unk>
gözleri	göz <n> <pl> <p3s> <3s>
gözleri	göz <n> <pl> <p3s> <3p>
gözleri	göz <n> <pl> <acc>
gözleri	göz <n> <pl> <acc> <3s>
gözleri	göz <n> <pl> <acc> <3p>
gözleri	göz <n> <p3p>
gözleri	göz <n> <p3p> <3s>
gözleri	göz <n> <p3p> <3p>
neredeyse	neredeyse <adv> <Dan_0> <n>
neredeyse	neredeyse <adv> <Dan_0> <n> <3s>
neredeyse	neredeyse <adv> <Dan_0> <n> <3p>
neredeyse	nere <prn> <qst> <loc> <cpl_sa> <3s>
neredeyse	nere <prn> <qst> <loc> <cpl_sa> <3p>
neredeyse	nere <prn> <qst> <loc> <3p> <cpl_sa>
gözden	gözde <n> <p2s> <3s>
gözden	gözde <n> <p2s> <3p>
gözden	göz <n> <abl>
gözden	göz <n> <abl> <3s>
gözden	göz <n> <abl> <3p>
kaybolana	kaybol <v> <part_yan> <dat> <3s>
kaybolana	kaybol <v> <part_yan> <dat> <3p>
kadar	<unk>
aşçıya	aşçı <n> <dat> <3s>
aşçıya	aşçı <n> <dat> <3p>
aşçıya	aş <n> <D_CI> <adj> <Djn_0> <n> <dat>
aşçıya	aş <n> <D_CI> <adj> <Djn_0> <n> <dat> <3s>
aşçıya	aş <n> <D_CI> <adj> <Djn_0> <n> <dat> <3p>
aşçıya	aş <n> <D_CI> <n> <dat>
aşçıya	aş <n> <D_CI> <n> <dat> <3s>
aşçıya	aş <n> <D_CI> <n> <dat> <3p>
aşçıya	aş <v> <D_CI> <n> <dat>
aşçıya	aş <v> <D_CI> <n> <dat> <3s>
aşçıya	aş <v> <D_CI> <n> <dat> <3p>
kaşlarını	kaş <n> <pl> <p2s> <acc> <3s>
kaşlarını	kaş <n> <pl> <p2s> <acc> <3p>
kaşlarını	kaş <n> <pl> <p3s> <acc>
kaşlarını	kaş <n> <pl> <p3s> <acc> <3s>
kaşlarını	kaş <n> <pl> <p3s> <acc> <3p>
kaşlarını	kaş <n> <p3p> <acc>
kaşlarını	kaş <n> <p3p> <acc> <3s>
kaşlarını	kaş <n> <p3p> <acc> <3p>
çattıktan	çat <v> <part_dik> <abl> <3s>
çattıktan	çat <v> <part_dik> <abl> <3p>
çattıktan	çat <v> <cv_dik> <abl>
sonra	sonra <adv> <Dan_0> <n>
sonra	sonra <adv> <Dan_0> <n> <3s>
sonra	sonra <adv> <Dan_0> <n> <3p>
sonra	sonra <n>
sonra	sonra <n> <3s>
sonra	sonra <n> <3p>
sonra	sonra <postp>
sonra	sonra <cnjadv>
derin	derin <adj> <Djn_0> <n>
derin	derin <adj> <Djn_0> <n> <3s>
derin	derin <adj> <Djn_0> <n> <3p>
derin	deri <n> <p2s>
derin	deri <n> <p2s> <3s>
derin	deri <n> <p2s> <3p>
derin	der <v> <t_imp> <2p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
sesle,	sesle <v> <t_imp> <3p>
sesle,	ses <n> <D_lA> <v> <t_imp> <2s>
sesle,	ses <n> <D_lA> <v> <t_imp> <3p>
sesle,	ses <n> <ins>
sesle,	ses <n> <ins> <3s>
sesle,	ses <n> <ins> <3p>
"Tartlar	tart <n> <D_lA> <v> <t_aor> <3p>
"Tartlar	tart <n> <3p>
"Tartlar	tart <n> <pl>
"Tartlar	tart <n> <pl> <3s>
"Tartlar	tart <n> <pl> <3p>
neden	neden <adv> <Dan_0> <n>
neden	neden <adv> <Dan_0> <n> <3s>
neden	neden <adv> <Dan_0> <n> <3p>
neden	neden <n>
neden	neden <n> <3s>
neden	neden <n> <3p>
neden	ne <prn> <qst> <abl>
neden	ne <prn> <qst> <abl> <3s>
neden	ne <prn> <qst> <abl> <3p>
yapılır?"	yap <v> <pass> <t_aor> <3p>
dedi.	de <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Çoğunlukla	çoğunluk <n> <D_lA> <v> <t_imp> <3p>
"Çoğunlukla	çoğunluk <n> <ins>
"Çoğunlukla	çoğunluk <n> <ins> <3s>
"Çoğunlukla	çoğunluk <n> <ins> <3p>
"Çoğunlukla	çoğun <adv> <D_lIK> <n> <D_lA> <v> <t_imp> <2s>
"Çoğunlukla	çoğun <adv> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
"Çoğunlukla	çoğun <adv> <D_lIK> <n> <ins>
"Çoğunlukla	çoğun <adv> <D_lIK> <n> <ins> <3s>
"Çoğunlukla	çoğun <adv> <D_lIK> <n> <ins> <3p>
"Çoğunlukla	çoğun <adv> <Dan_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <2s>
"Çoğunlukla	çoğun <adv> <Dan_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
"Çoğunlukla	çoğun <adv> <Dan_0> <n> <D_lIK> <n> <ins>
"Çoğunlukla	çoğun <adv> <Dan_0> <n> <D_lIK> <n> <ins> <3s>
"Çoğunlukla	çoğun <adv> <Dan_0> <n> <D_lIK> <n> <ins> <3p>
biber,"	biber <n> <3s>
biber,"	biber <n> <3p>
dedi	de <v> <t_past> <3p>
aşçı.	aşçı <n> <3s>
aşçı.	aşçı <n> <3p>
aşçı.	aş <n> <D_CI> <adj>
aşçı.	aş <n> <D_CI> <adj> <Djn_0> <n>
aşçı.	aş <n> <D_CI> <adj> <Djn_0> <n> <3s>
aşçı.	aş <n> <D_CI> <adj> <Djn_0> <n> <3p>
aşçı.	aş <n> <D_CI> <n>
aşçı.	aş <n> <D_CI> <n> <3s>
aşçı.	aş <n> <D_CI> <n> <3p>
aşçı.	aş <v> <D_CI> <n>
aşçı.	aş <v> <D_CI> <n> <3s>
aşçı.	aş <v> <D_CI> <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Pekmez,"	pekmez <n> <3s>
"Pekmez,"	pekmez <n> <3p>
dedi	de <v> <t_past> <3p>
arkasında	arka <adj> <Djn_0> <n> <p3s> <loc> <3s>
arkasında	arka <adj> <Djn_0> <n> <p3s> <loc> <3p>
arkasında	arka <n> <p3s> <loc>
arkasında	arka <n> <p3s> <loc> <3s>
arkasında	arka <n> <p3s> <loc> <3p>
uykulu	uyku <n> <D_lI> <adj> <Djn_0> <n>
uykulu	uyku <n> <D_lI> <adj> <Djn_0> <n> <3s>
uykulu	uyku <n> <D_lI> <adj> <Djn_0> <n> <3p>
uykulu	uyku <n> <D_lI> <n>
uykulu	uyku <n> <D_lI> <n> <3s>
uykulu	uyku <n> <D_lI> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
ses.	ses <n> <3s>
ses.	ses <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"O	o <prn> <pers> <3s>
"O	o <prn> <pers> <3p>
"O	o <ij>
"O	o <det>
Uyur	uyu <v> <t_aor> <3p>
Fare'yi	fare <n> <acc> <3s>
Fare'yi	fare <n> <acc> <3p>
yakalayın,"	yaka <n> <D_lA> <v> <t_imp> <2p>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
çığlık	çığlık <n> <3s>
çığlık	çığlık <n> <3p>
çığlık	çığ <n> <D_lIK> <n>
çığlık	çığ <n> <D_lIK> <n> <3s>
çığlık	çığ <n> <D_lIK> <n> <3p>
attı	at <n> <cpl_di> <3p>
attı	at <n> <3p> <cpl_di>
attı	at <v> <t_past> <3s>
attı	at <v> <t_past> <3p>
Kraliçe.	kraliçe <n> <3s>
Kraliçe.	kraliçe <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"O	o <prn> <pers> <3s>
"O	o <prn> <pers> <3p>
"O	o <ij>
"O	o <det>
Uyur	uyu <v> <t_aor> <3p>
Fare'nin	fare <n> <p2s> <gen> <3s>
Fare'nin	fare <n> <p2s> <gen> <3p>
Fare'nin	fare <n> <gen>
Fare'nin	fare <n> <gen> <3s>
Fare'nin	fare <n> <gen> <3p>
başını	baş <n> <p2s> <acc> <3s>
başını	baş <n> <p2s> <acc> <3p>
başını	baş <n> <p3s> <acc>
başını	baş <n> <p3s> <acc> <3s>
başını	baş <n> <p3s> <acc> <3p>
kesin!	kesin <adj> <Djn_0> <n>
kesin!	kesin <adj> <Djn_0> <n> <3s>
kesin!	kesin <adj> <Djn_0> <n> <3p>
kesin!	kesin <v> <t_imp> <2s>
kesin!	kesin <v> <t_imp> <3p>
kesin!	kes <n> <p2s>
kesin!	kes <n> <p2s> <3s>
kesin!	kes <n> <p2s> <3p>
kesin!	kes <n> <gen>
kesin!	kes <n> <gen> <3s>
kesin!	kes <n> <gen> <3p>
kesin!	kes <v> <t_imp> <2p>
</S> </S>+ESTag
<S> <S>+BSTag
O	o <prn> <pers> <3s>
O	o <prn> <pers> <3p>
O	o <ij>
O	o <det>
Uyur	uyu <v> <t_aor> <3p>
Fare'yi	fare <n> <acc> <3s>
Fare'yi	fare <n> <acc> <3p>
mahkemeden	mahkeme <n> <abl> <3s>
mahkemeden	mahkeme <n> <abl> <3p>
çıkarın!	çıkar <n> <p2s> <3s>
çıkarın!	çıkar <n> <p2s> <3p>
çıkarın!	çıkar <n> <gen>
çıkarın!	çıkar <n> <gen> <3s>
çıkarın!	çıkar <n> <gen> <3p>
çıkarın!	çıkar <v> <t_imp> <2p>
</S> </S>+ESTag
<S> <S>+BSTag
Susturun	<unk>
onu!	on <n> <p3s> <3s>
onu!	on <n> <p3s> <3p>
onu!	on <n> <acc>
onu!	on <n> <acc> <3s>
onu!	on <n> <acc> <3p>
onu!	on <num> <Dmn_0> <n> <p3s>
onu!	on <num> <Dmn_0> <n> <p3s> <3s>
onu!	on <num> <Dmn_0> <n> <p3s> <3p>
onu!	on <num> <Dmn_0> <n> <acc>
onu!	on <num> <Dmn_0> <n> <acc> <3s>
onu!	on <num> <Dmn_0> <n> <acc> <3p>
onu!	o <prn> <pers> <p3s>
onu!	o <prn> <pers> <p3s> <3s>
onu!	o <prn> <pers> <p3s> <3p>
onu!	o <prn> <pers> <acc>
onu!	o <prn> <pers> <acc> <3s>
onu!	o <prn> <pers> <acc> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Çimdikleyin	çimdik <n> <D_lA> <v> <t_imp> <2p>
onu!	on <n> <p3s> <3s>
onu!	on <n> <p3s> <3p>
onu!	on <n> <acc>
onu!	on <n> <acc> <3s>
onu!	on <n> <acc> <3p>
onu!	on <num> <Dmn_0> <n> <p3s>
onu!	on <num> <Dmn_0> <n> <p3s> <3s>
onu!	on <num> <Dmn_0> <n> <p3s> <3p>
onu!	on <num> <Dmn_0> <n> <acc>
onu!	on <num> <Dmn_0> <n> <acc> <3s>
onu!	on <num> <Dmn_0> <n> <acc> <3p>
onu!	o <prn> <pers> <p3s>
onu!	o <prn> <pers> <p3s> <3s>
onu!	o <prn> <pers> <p3s> <3p>
onu!	o <prn> <pers> <acc>
onu!	o <prn> <pers> <acc> <3s>
onu!	o <prn> <pers> <acc> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Bıyıklarını	bıyık <n> <pl> <p2s> <acc> <3s>
Bıyıklarını	bıyık <n> <pl> <p2s> <acc> <3p>
Bıyıklarını	bıyık <n> <pl> <p3s> <acc>
Bıyıklarını	bıyık <n> <pl> <p3s> <acc> <3s>
Bıyıklarını	bıyık <n> <pl> <p3s> <acc> <3p>
Bıyıklarını	bıyık <n> <p3p> <acc>
Bıyıklarını	bıyık <n> <p3p> <acc> <3s>
Bıyıklarını	bıyık <n> <p3p> <acc> <3p>
kesin!	kesin <adj> <Djn_0> <n>
kesin!	kesin <adj> <Djn_0> <n> <3s>
kesin!	kesin <adj> <Djn_0> <n> <3p>
kesin!	kesin <v> <t_imp> <2s>
kesin!	kesin <v> <t_imp> <3p>
kesin!	kes <n> <p2s>
kesin!	kes <n> <p2s> <3s>
kesin!	kes <n> <p2s> <3p>
kesin!	kes <n> <gen>
kesin!	kes <n> <gen> <3s>
kesin!	kes <n> <gen> <3p>
kesin!	kes <v> <t_imp> <2p>
</S> </S>+ESTag
<S> <S>+BSTag
Birkaç	birkaç <adj> <Djn_0> <n>
Birkaç	birkaç <adj> <Djn_0> <n> <3s>
Birkaç	birkaç <adj> <Djn_0> <n> <3p>
Birkaç	birkaç <det>
dakika	dakika <n> <3s>
dakika	dakika <n> <3p>
boyunca	boyun <n> <D_CA> <adj>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n> <3s>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n> <3p>
boyunca	boyun <n> <D_CA> <adv>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n> <3s>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n> <3p>
boyunca	boyun <n> <D_CA> <n>
boyunca	boyun <n> <D_CA> <n> <3s>
boyunca	boyun <n> <D_CA> <n> <3p>
boyunca	boyun <n> <ca>
boyunca	boy <n> <p2s> <ca>
boyunca	boy <n> <p3s> <ca>
bütün	bütün <adj> <Djn_0> <n>
bütün	bütün <adj> <Djn_0> <n> <3s>
bütün	bütün <adj> <Djn_0> <n> <3p>
bütün	bütün <det>
mahkeme,	mahkeme <n> <3s>
mahkeme,	mahkeme <n> <3p>
Fındık	fındık <n> <3s>
Fındık	fındık <n> <3p>
Faresi'nin	fare <n> <p3s> <gen> <3s>
Faresi'nin	fare <n> <p3s> <gen> <3p>
dışarı	dışarı <n> <3s>
dışarı	dışarı <n> <3p>
dışarı	dışarı <n> <p3s>
dışarı	dışarı <n> <p3s> <3s>
dışarı	dışarı <n> <p3s> <3p>
dışarı	dışarı <n> <acc>
dışarı	dışarı <n> <acc> <3s>
dışarı	dışarı <n> <acc> <3p>
çıkarılmasıyla	çıkar <v> <pass> <vn_ma> <p3s> <ins> <3s>
çıkarılmasıyla	çıkar <v> <pass> <vn_ma> <p3s> <ins> <3p>
karışıklık	karışık <adj> <D_lIK> <n> <3s>
karışıklık	karışık <adj> <D_lIK> <n> <3p>
karışıklık	karışık <adj> <Djn_0> <n> <D_lIK> <n>
karışıklık	karışık <adj> <Djn_0> <n> <D_lIK> <n> <3s>
karışıklık	karışık <adj> <Djn_0> <n> <D_lIK> <n> <3p>
içindeydi	içinde <adv> <Dan_0> <n> <cpl_di> <3p>
içindeydi	içinde <adv> <Dan_0> <n> <3p> <cpl_di>
içindeydi	iç <adj> <Djn_0> <n> <p2s> <loc> <cpl_di> <3s>
içindeydi	iç <adj> <Djn_0> <n> <p2s> <loc> <cpl_di> <3p>
içindeydi	iç <adj> <Djn_0> <n> <p2s> <loc> <3p> <cpl_di>
içindeydi	iç <adj> <Djn_0> <n> <p3s> <loc> <cpl_di> <3s>
içindeydi	iç <adj> <Djn_0> <n> <p3s> <loc> <cpl_di> <3p>
içindeydi	iç <adj> <Djn_0> <n> <p3s> <loc> <3p> <cpl_di>
içindeydi	iç <n> <p2s> <loc> <cpl_di> <3s>
içindeydi	iç <n> <p2s> <loc> <cpl_di> <3p>
içindeydi	iç <n> <p2s> <loc> <3p> <cpl_di>
içindeydi	iç <n> <p3s> <loc> <cpl_di> <3s>
içindeydi	iç <n> <p3s> <loc> <cpl_di> <3p>
içindeydi	iç <n> <p3s> <loc> <3p> <cpl_di>
ve	ve <cnjadv>
onlar	onlar <prn> <pers> <3s>
onlar	onlar <prn> <pers> <3p>
onlar	on <n> <D_lA> <v> <t_aor> <3s>
onlar	on <n> <D_lA> <v> <t_aor> <3p>
onlar	on <n> <3p>
onlar	on <n> <pl>
onlar	on <n> <pl> <3s>
onlar	on <n> <pl> <3p>
onlar	on <num> <Dmn_0> <n> <D_lA> <v> <t_aor> <3s>
onlar	on <num> <Dmn_0> <n> <D_lA> <v> <t_aor> <3p>
onlar	on <num> <Dmn_0> <n> <3p>
onlar	on <num> <Dmn_0> <n> <pl>
onlar	on <num> <Dmn_0> <n> <pl> <3s>
onlar	on <num> <Dmn_0> <n> <pl> <3p>
onlar	o <prn> <pers> <3p>
onlar	o <prn> <pers> <pl>
onlar	o <prn> <pers> <pl> <3s>
onlar	o <prn> <pers> <pl> <3p>
yeniden	yeniden <adv> <Dan_0> <n>
yeniden	yeniden <adv> <Dan_0> <n> <3s>
yeniden	yeniden <adv> <Dan_0> <n> <3p>
yeniden	yeni <adj> <Djn_0> <n> <abl>
yeniden	yeni <adj> <Djn_0> <n> <abl> <3s>
yeniden	yeni <adj> <Djn_0> <n> <abl> <3p>
yerleştiklerinde	yerleş <v> <part_dik> <pl> <p2s> <loc> <3s>
yerleştiklerinde	yerleş <v> <part_dik> <pl> <p2s> <loc> <3p>
yerleştiklerinde	yerleş <v> <part_dik> <pl> <p3s> <loc>
yerleştiklerinde	yerleş <v> <part_dik> <pl> <p3s> <loc> <3s>
yerleştiklerinde	yerleş <v> <part_dik> <pl> <p3s> <loc> <3p>
yerleştiklerinde	yerleş <v> <part_dik> <p3p> <loc>
yerleştiklerinde	yerleş <v> <part_dik> <p3p> <loc> <3s>
yerleştiklerinde	yerleş <v> <part_dik> <p3p> <loc> <3p>
yerleştiklerinde	yer <n> <D_lAs> <v> <part_dik> <pl> <p2s> <loc>
yerleştiklerinde	yer <n> <D_lAs> <v> <part_dik> <pl> <p2s> <loc> <3s>
yerleştiklerinde	yer <n> <D_lAs> <v> <part_dik> <pl> <p2s> <loc> <3p>
yerleştiklerinde	yer <n> <D_lAs> <v> <part_dik> <pl> <p3s> <loc>
yerleştiklerinde	yer <n> <D_lAs> <v> <part_dik> <pl> <p3s> <loc> <3s>
yerleştiklerinde	yer <n> <D_lAs> <v> <part_dik> <pl> <p3s> <loc> <3p>
yerleştiklerinde	yer <n> <D_lAs> <v> <part_dik> <p3p> <loc>
yerleştiklerinde	yer <n> <D_lAs> <v> <part_dik> <p3p> <loc> <3s>
yerleştiklerinde	yer <n> <D_lAs> <v> <part_dik> <p3p> <loc> <3p>
aşçı	aşçı <n> <3s>
aşçı	aşçı <n> <3p>
aşçı	aş <n> <D_CI> <adj>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n> <3s>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n> <3p>
aşçı	aş <n> <D_CI> <n>
aşçı	aş <n> <D_CI> <n> <3s>
aşçı	aş <n> <D_CI> <n> <3p>
aşçı	aş <v> <D_CI> <n>
aşçı	aş <v> <D_CI> <n> <3s>
aşçı	aş <v> <D_CI> <n> <3p>
ortadan	orta <adj> <Djn_0> <n> <abl> <3s>
ortadan	orta <adj> <Djn_0> <n> <abl> <3p>
ortadan	orta <n> <abl>
ortadan	orta <n> <abl> <3s>
ortadan	orta <n> <abl> <3p>
kaybolmuştu.	kaybol <v> <t_narr> <cpl_di> <3p>
kaybolmuştu.	kaybol <v> <t_narr> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
"Boş	boş <adj> <Djn_0> <n>
"Boş	boş <adj> <Djn_0> <n> <3s>
"Boş	boş <adj> <Djn_0> <n> <3p>
"Boş	boş <adv>
"Boş	boş <adv> <Dan_0> <n>
"Boş	boş <adv> <Dan_0> <n> <3s>
"Boş	boş <adv> <Dan_0> <n> <3p>
ver!"	ver <v> <t_imp> <3p>
dedi	de <v> <t_past> <3p>
Kral,	kral <n> <3s>
Kral,	kral <n> <3p>
büyük	büyük <adj> <Djn_0> <n>
büyük	büyük <adj> <Djn_0> <n> <3s>
büyük	büyük <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
rahatlama	rahatla <v> <D_mA> <n> <3s>
rahatlama	rahatla <v> <D_mA> <n> <3p>
rahatlama	rahatla <v> <neg> <t_imp> <2s>
rahatlama	rahatla <v> <neg> <t_imp> <3p>
rahatlama	rahatla <v> <vn_ma>
rahatlama	rahatla <v> <vn_ma> <3s>
rahatlama	rahatla <v> <vn_ma> <3p>
rahatlama	rahatla <v> <cv_ma>
rahatlama	rahat <adj> <D_lA> <v> <D_mA> <n>
rahatlama	rahat <adj> <D_lA> <v> <D_mA> <n> <3s>
rahatlama	rahat <adj> <D_lA> <v> <D_mA> <n> <3p>
rahatlama	rahat <adj> <D_lA> <v> <neg> <t_imp> <2s>
rahatlama	rahat <adj> <D_lA> <v> <neg> <t_imp> <3p>
rahatlama	rahat <adj> <D_lA> <v> <vn_ma>
rahatlama	rahat <adj> <D_lA> <v> <vn_ma> <3s>
rahatlama	rahat <adj> <D_lA> <v> <vn_ma> <3p>
rahatlama	rahat <adj> <D_lA> <v> <cv_ma>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <3s>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <3p>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <neg> <t_imp> <2s>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <neg> <t_imp> <3p>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <vn_ma>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <3s>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <3p>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <cv_ma>
havasıyla.	havas <n> <p3s> <ins> <3s>
havasıyla.	havas <n> <p3s> <ins> <3p>
havasıyla.	hava <n> <p3s> <ins>
havasıyla.	hava <n> <p3s> <ins> <3s>
havasıyla.	hava <n> <p3s> <ins> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Bir	bir <adj> <Djn_0> <n>
"Bir	bir <adj> <Djn_0> <n> <3s>
"Bir	bir <adj> <Djn_0> <n> <3p>
"Bir	bir <num>
"Bir	bir <num> <Dmn_0> <n>
"Bir	bir <num> <Dmn_0> <n> <3s>
"Bir	bir <num> <Dmn_0> <n> <3p>
"Bir	bir <det>
sonraki	<unk>
tanığı	tanık <n> <p3s> <3s>
tanığı	tanık <n> <p3s> <3p>
tanığı	tanık <n> <acc>
tanığı	tanık <n> <acc> <3s>
tanığı	tanık <n> <acc> <3p>
çağırın."	<unk>
Ve	ve <cnjadv>
Kraliçe'ye	kraliçe <n> <dat> <3s>
Kraliçe'ye	kraliçe <n> <dat> <3p>
alçak	alçak <n> <3s>
alçak	alçak <n> <3p>
sesle	sesle <v> <t_imp> <3p>
sesle	ses <n> <D_lA> <v> <t_imp> <2s>
sesle	ses <n> <D_lA> <v> <t_imp> <3p>
sesle	ses <n> <ins>
sesle	ses <n> <ins> <3s>
sesle	ses <n> <ins> <3p>
ekledi,	ekle <v> <t_past> <3p>
ekledi,	ek <adj> <D_lA> <v> <t_past> <3s>
ekledi,	ek <adj> <D_lA> <v> <t_past> <3p>
ekledi,	ek <adj> <Djn_0> <n> <D_lA> <v> <t_past> <3s>
ekledi,	ek <adj> <Djn_0> <n> <D_lA> <v> <t_past> <3p>
ekledi,	ek <n> <D_lA> <v> <t_past> <3s>
ekledi,	ek <n> <D_lA> <v> <t_past> <3p>
"Gerçekten,	gerçekten <adv> <Dan_0> <n>
"Gerçekten,	gerçekten <adv> <Dan_0> <n> <3s>
"Gerçekten,	gerçekten <adv> <Dan_0> <n> <3p>
"Gerçekten,	gerçekte <adv> <Dan_0> <n> <p2s>
"Gerçekten,	gerçekte <adv> <Dan_0> <n> <p2s> <3s>
"Gerçekten,	gerçekte <adv> <Dan_0> <n> <p2s> <3p>
"Gerçekten,	gerçek <n> <abl>
"Gerçekten,	gerçek <n> <abl> <3s>
"Gerçekten,	gerçek <n> <abl> <3p>
canım,	can <n> <p1s>
canım,	can <n> <p1s> <3s>
canım,	can <n> <p1s> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
sonraki	<unk>
tanığı	tanık <n> <p3s> <3s>
tanığı	tanık <n> <p3s> <3p>
tanığı	tanık <n> <acc>
tanığı	tanık <n> <acc> <3s>
tanığı	tanık <n> <acc> <3p>
sorguya	sorgu <n> <dat> <3s>
sorguya	sorgu <n> <dat> <3p>
çekmelisin.	çekme <adj> <Djn_0> <n> <D_lI> <adj> <Djn_0> <n> <2s>
çekmelisin.	çekme <adj> <Djn_0> <n> <D_lI> <n> <2s>
çekmelisin.	çekme <n> <D_lI> <adj> <Djn_0> <n> <2s>
çekmelisin.	çekme <n> <D_lI> <n> <2s>
çekmelisin.	çek <v> <D_mA> <n> <D_lI> <adj> <Djn_0> <n> <2s>
çekmelisin.	çek <v> <D_mA> <n> <D_lI> <n> <2s>
çekmelisin.	çek <v> <t_obl> <2s>
</S> </S>+ESTag
<S> <S>+BSTag
"Alnımı	alın <n> <p1s> <acc> <3s>
"Alnımı	alın <n> <p1s> <acc> <3p>
epey	epey <adv> <Dan_0> <n>
epey	epey <adv> <Dan_0> <n> <3s>
epey	epey <adv> <Dan_0> <n> <3p>
ağrıtıyor!"	ağrı <v> <caus> <t_cont> <3p>
ağrıtıyor!"	ağrı <v> <caus> <cv_iyor>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
