<S> <S>+BSTag
"O	o <prn> <pers> <3s>
"O	o <prn> <pers> <3p>
sırıttığını	sırıt <v> <part_dik> <p3s> <acc> <3p>
sırıttığını	sırıt <v> <cv_dik> <p3s> <acc>
bilmiyordum;	<unk>
aslında,	aslında <adv> <Dan_0> <n>
aslında,	aslında <adv> <Dan_0> <n> <3s>
aslında,	aslında <adv> <Dan_0> <n> <3p>
aslında,	asıl <n> <p2s> <loc>
aslında,	asıl <n> <p2s> <loc> <3s>
aslında,	asıl <n> <p2s> <loc> <3p>
aslında,	asıl <n> <p3s> <loc>
aslında,	asıl <n> <p3s> <loc> <3s>
aslında,	asıl <n> <p3s> <loc> <3p>
aslında,	as <n> <D_lI> <adj> <Djn_0> <n> <p2s> <loc>
aslında,	as <n> <D_lI> <adj> <Djn_0> <n> <p2s> <loc> <3s>
aslında,	as <n> <D_lI> <adj> <Djn_0> <n> <p2s> <loc> <3p>
aslında,	as <n> <D_lI> <n> <p2s> <loc>
aslında,	as <n> <D_lI> <n> <p2s> <loc> <3s>
aslında,	as <n> <D_lI> <n> <p2s> <loc> <3p>
kedilerin	kedi <n> <pl> <p2s> <3s>
kedilerin	kedi <n> <pl> <p2s> <3p>
kedilerin	kedi <n> <pl> <gen>
kedilerin	kedi <n> <pl> <gen> <3s>
kedilerin	kedi <n> <pl> <gen> <3p>
sırıtabileceğini	sırıt <v> <abil> <vn_acak> <p2s> <acc> <3s>
sırıtabileceğini	sırıt <v> <abil> <vn_acak> <p2s> <acc> <3p>
sırıtabileceğini	sırıt <v> <abil> <vn_acak> <p3s> <acc>
sırıtabileceğini	sırıt <v> <abil> <vn_acak> <p3s> <acc> <3s>
sırıtabileceğini	sırıt <v> <abil> <vn_acak> <p3s> <acc> <3p>
sırıtabileceğini	sırıt <v> <abil> <part_acak> <p2s> <acc>
sırıtabileceğini	sırıt <v> <abil> <part_acak> <p2s> <acc> <3s>
sırıtabileceğini	sırıt <v> <abil> <part_acak> <p2s> <acc> <3p>
sırıtabileceğini	sırıt <v> <abil> <part_acak> <p3s> <acc>
sırıtabileceğini	sırıt <v> <abil> <part_acak> <p3s> <acc> <3s>
sırıtabileceğini	sırıt <v> <abil> <part_acak> <p3s> <acc> <3p>
bilmiyordum."	<unk>
"Hepsi	hepsi <prn> <3s>
"Hepsi	hepsi <prn> <3p>
yapabilir,"	yap <v> <abil> <t_aor> <3p>
dedi	de <v> <t_past> <3p>
Düşes;	düşes <n> <3s>
Düşes;	düşes <n> <3p>
"ve	ve <cnjadv>
çoğu	çoğu <adv> <Dan_0> <n>
çoğu	çoğu <adv> <Dan_0> <n> <3s>
çoğu	çoğu <adv> <Dan_0> <n> <3p>
çoğu	çoğu <det>
çoğu	çok <adj> <Djn_0> <n> <p3s>
çoğu	çok <adj> <Djn_0> <n> <p3s> <3s>
çoğu	çok <adj> <Djn_0> <n> <p3s> <3p>
çoğu	çok <adj> <Djn_0> <n> <acc>
çoğu	çok <adj> <Djn_0> <n> <acc> <3s>
çoğu	çok <adj> <Djn_0> <n> <acc> <3p>
çoğu	çok <adv> <Dan_0> <n> <p3s>
çoğu	çok <adv> <Dan_0> <n> <p3s> <3s>
çoğu	çok <adv> <Dan_0> <n> <p3s> <3p>
çoğu	çok <adv> <Dan_0> <n> <acc>
çoğu	çok <adv> <Dan_0> <n> <acc> <3s>
çoğu	çok <adv> <Dan_0> <n> <acc> <3p>
da	<unk>
yapar."	yap <v> <t_aor> <3p>
"Bunu	bun <n> <p3s> <3s>
"Bunu	bun <n> <p3s> <3p>
"Bunu	bun <n> <acc>
"Bunu	bun <n> <acc> <3s>
"Bunu	bun <n> <acc> <3p>
"Bunu	bu <prn> <dem> <p3s>
"Bunu	bu <prn> <dem> <p3s> <3s>
"Bunu	bu <prn> <dem> <p3s> <3p>
"Bunu	bu <prn> <dem> <acc>
"Bunu	bu <prn> <dem> <acc> <3s>
"Bunu	bu <prn> <dem> <acc> <3p>
yapan	yap <v> <part_yan> <3s>
yapan	yap <v> <part_yan> <3p>
herhangi	<unk>
birini	biri <n> <p2s> <acc> <3s>
birini	biri <n> <p2s> <acc> <3p>
birini	bir <adj> <Djn_0> <n> <p2s> <acc>
birini	bir <adj> <Djn_0> <n> <p2s> <acc> <3s>
birini	bir <adj> <Djn_0> <n> <p2s> <acc> <3p>
birini	bir <adj> <Djn_0> <n> <p3s> <acc>
birini	bir <adj> <Djn_0> <n> <p3s> <acc> <3s>
birini	bir <adj> <Djn_0> <n> <p3s> <acc> <3p>
birini	bir <num> <Dmn_0> <n> <p2s> <acc>
birini	bir <num> <Dmn_0> <n> <p2s> <acc> <3s>
birini	bir <num> <Dmn_0> <n> <p2s> <acc> <3p>
birini	bir <num> <Dmn_0> <n> <p3s> <acc>
birini	bir <num> <Dmn_0> <n> <p3s> <acc> <3s>
birini	bir <num> <Dmn_0> <n> <p3s> <acc> <3p>
bilmiyorum,"	<unk>
dedi	de <v> <t_past> <3p>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
çok	çok <adj> <Djn_0> <n>
çok	çok <adj> <Djn_0> <n> <3s>
çok	çok <adj> <Djn_0> <n> <3p>
çok	çok <adv>
çok	çok <adv> <Dan_0> <n>
çok	çok <adv> <Dan_0> <n> <3s>
çok	çok <adv> <Dan_0> <n> <3p>
çok	çok <det>
nazikçe,	nazik <adj> <D_CA> <adj> <Djn_0> <n>
nazikçe,	nazik <adj> <D_CA> <adj> <Djn_0> <n> <3s>
nazikçe,	nazik <adj> <D_CA> <adj> <Djn_0> <n> <3p>
nazikçe,	nazik <adj> <Djn_0> <n> <D_CA> <adj>
nazikçe,	nazik <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n>
nazikçe,	nazik <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3s>
nazikçe,	nazik <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3p>
nazikçe,	nazik <adj> <Djn_0> <n> <D_CA> <adv>
nazikçe,	nazik <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n>
nazikçe,	nazik <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3s>
nazikçe,	nazik <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3p>
nazikçe,	nazik <adj> <Djn_0> <n> <D_CA> <n>
nazikçe,	nazik <adj> <Djn_0> <n> <D_CA> <n> <3s>
nazikçe,	nazik <adj> <Djn_0> <n> <D_CA> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
konuşmaya	konuşma <adj> <Djn_0> <n> <dat> <3s>
konuşmaya	konuşma <adj> <Djn_0> <n> <dat> <3p>
konuşmaya	konuş <v> <D_mA> <n> <dat>
konuşmaya	konuş <v> <D_mA> <n> <dat> <3s>
konuşmaya	konuş <v> <D_mA> <n> <dat> <3p>
konuşmaya	konuş <v> <neg> <t_opt> <3s>
konuşmaya	konuş <v> <neg> <t_opt> <3p>
konuşmaya	konuş <v> <vn_ma> <dat>
konuşmaya	konuş <v> <vn_ma> <dat> <3s>
konuşmaya	konuş <v> <vn_ma> <dat> <3p>
konuşmaya	konuş <v> <vn_mak> <dat>
konuşmaya	konuş <v> <vn_mak> <dat> <3s>
konuşmaya	konuş <v> <vn_mak> <dat> <3p>
konuşmaya	konuş <v> <vinf> <dat>
girdiği	gir <v> <vn_dik> <p3s> <3s>
girdiği	gir <v> <vn_dik> <p3s> <3p>
girdiği	gir <v> <vn_dik> <acc>
girdiği	gir <v> <vn_dik> <acc> <3s>
girdiği	gir <v> <vn_dik> <acc> <3p>
girdiği	gir <v> <part_dik> <p3s>
girdiği	gir <v> <part_dik> <p3s> <3s>
girdiği	gir <v> <part_dik> <p3s> <3p>
girdiği	gir <v> <part_dik> <acc>
girdiği	gir <v> <part_dik> <acc> <3s>
girdiği	gir <v> <part_dik> <acc> <3p>
girdiği	gir <v> <cv_dik> <p3s>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
oldukça	<unk>
memnun	memnun <n> <3s>
memnun	memnun <n> <3p>
hissederek.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
"Pek	pek <adj> <Djn_0> <n>
"Pek	pek <adj> <Djn_0> <n> <3s>
"Pek	pek <adj> <Djn_0> <n> <3p>
"Pek	pek <adv>
"Pek	pek <adv> <Dan_0> <n>
"Pek	pek <adv> <Dan_0> <n> <3s>
"Pek	pek <adv> <Dan_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şey	şey <n> <3s>
şey	şey <n> <3p>
bilmiyorsun,"	<unk>
dedi	de <v> <t_past> <3p>
Düşes;	düşes <n> <3s>
Düşes;	düşes <n> <3p>
"ve	ve <cnjadv>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
gerçek."	gerçek <n> <3s>
gerçek."	gerçek <n> <3p>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
sözün	söz <n> <p2s> <3s>
sözün	söz <n> <p2s> <3p>
sözün	söz <n> <gen>
sözün	söz <n> <gen> <3s>
sözün	söz <n> <gen> <3p>
tonundan	ton <n> <p2s> <abl> <3s>
tonundan	ton <n> <p2s> <abl> <3p>
tonundan	ton <n> <p3s> <abl>
tonundan	ton <n> <p3s> <abl> <3s>
tonundan	ton <n> <p3s> <abl> <3p>
hiç	hiç <adv> <Dan_0> <n>
hiç	hiç <adv> <Dan_0> <n> <3s>
hiç	hiç <adv> <Dan_0> <n> <3p>
hiç	hiç <n>
hiç	hiç <n> <3s>
hiç	hiç <n> <3p>
hoşlanmadı	hoşlan <v> <neg> <t_past> <3p>
hoşlanmadı	hoş <n> <D_lAn> <v> <neg> <t_past> <3s>
hoşlanmadı	hoş <n> <D_lAn> <v> <neg> <t_past> <3p>
ve	ve <cnjadv>
başka	başka <adj> <Djn_0> <n>
başka	başka <adj> <Djn_0> <n> <3s>
başka	başka <adj> <Djn_0> <n> <3p>
başka	başka <postp>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
konuşma	konuşma <adj> <Djn_0> <n>
konuşma	konuşma <adj> <Djn_0> <n> <3s>
konuşma	konuşma <adj> <Djn_0> <n> <3p>
konuşma	konuş <v> <D_mA> <n>
konuşma	konuş <v> <D_mA> <n> <3s>
konuşma	konuş <v> <D_mA> <n> <3p>
konuşma	konuş <v> <neg> <t_imp> <2s>
konuşma	konuş <v> <neg> <t_imp> <3p>
konuşma	konuş <v> <vn_ma>
konuşma	konuş <v> <vn_ma> <3s>
konuşma	konuş <v> <vn_ma> <3p>
konuşma	konuş <v> <cv_ma>
konusu	konu <n> <p3s> <3s>
konusu	konu <n> <p3s> <3p>
açmanın	açma <adj> <Djn_0> <n> <p2s> <gen> <3s>
açmanın	açma <adj> <Djn_0> <n> <p2s> <gen> <3p>
açmanın	açma <adj> <Djn_0> <n> <gen>
açmanın	açma <adj> <Djn_0> <n> <gen> <3s>
açmanın	açma <adj> <Djn_0> <n> <gen> <3p>
açmanın	açma <n> <p2s> <gen>
açmanın	açma <n> <p2s> <gen> <3s>
açmanın	açma <n> <p2s> <gen> <3p>
açmanın	açma <n> <gen>
açmanın	açma <n> <gen> <3s>
açmanın	açma <n> <gen> <3p>
açmanın	aç <v> <D_mA> <n> <p2s> <gen>
açmanın	aç <v> <D_mA> <n> <p2s> <gen> <3s>
açmanın	aç <v> <D_mA> <n> <p2s> <gen> <3p>
açmanın	aç <v> <D_mA> <n> <gen>
açmanın	aç <v> <D_mA> <n> <gen> <3s>
açmanın	aç <v> <D_mA> <n> <gen> <3p>
açmanın	aç <v> <vn_ma> <p2s> <gen>
açmanın	aç <v> <vn_ma> <p2s> <gen> <3s>
açmanın	aç <v> <vn_ma> <p2s> <gen> <3p>
açmanın	aç <v> <vn_ma> <gen>
açmanın	aç <v> <vn_ma> <gen> <3s>
açmanın	aç <v> <vn_ma> <gen> <3p>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
olacağını	ol <v> <vn_acak> <p2s> <acc> <3s>
olacağını	ol <v> <vn_acak> <p2s> <acc> <3p>
olacağını	ol <v> <vn_acak> <p3s> <acc>
olacağını	ol <v> <vn_acak> <p3s> <acc> <3s>
olacağını	ol <v> <vn_acak> <p3s> <acc> <3p>
olacağını	ol <v> <part_acak> <p2s> <acc>
olacağını	ol <v> <part_acak> <p2s> <acc> <3s>
olacağını	ol <v> <part_acak> <p2s> <acc> <3p>
olacağını	ol <v> <part_acak> <p3s> <acc>
olacağını	ol <v> <part_acak> <p3s> <acc> <3s>
olacağını	ol <v> <part_acak> <p3s> <acc> <3p>
düşündü.	düşün <n> <cpl_di> <3p>
düşündü.	düşün <n> <3p> <cpl_di>
düşündü.	düşün <v> <t_past> <3s>
düşündü.	düşün <v> <t_past> <3p>
düşündü.	düş <n> <p2s> <cpl_di> <3s>
düşündü.	düş <n> <p2s> <cpl_di> <3p>
düşündü.	düş <n> <p2s> <3p> <cpl_di>
düşündü.	düş <n> <gen> <cpl_di> <3s>
düşündü.	düş <n> <gen> <cpl_di> <3p>
düşündü.	düş <n> <gen> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Birini	biri <n> <p2s> <acc> <3s>
Birini	biri <n> <p2s> <acc> <3p>
Birini	bir <adj> <Djn_0> <n> <p2s> <acc>
Birini	bir <adj> <Djn_0> <n> <p2s> <acc> <3s>
Birini	bir <adj> <Djn_0> <n> <p2s> <acc> <3p>
Birini	bir <adj> <Djn_0> <n> <p3s> <acc>
Birini	bir <adj> <Djn_0> <n> <p3s> <acc> <3s>
Birini	bir <adj> <Djn_0> <n> <p3s> <acc> <3p>
Birini	bir <num> <Dmn_0> <n> <p2s> <acc>
Birini	bir <num> <Dmn_0> <n> <p2s> <acc> <3s>
Birini	bir <num> <Dmn_0> <n> <p2s> <acc> <3p>
Birini	bir <num> <Dmn_0> <n> <p3s> <acc>
Birini	bir <num> <Dmn_0> <n> <p3s> <acc> <3s>
Birini	bir <num> <Dmn_0> <n> <p3s> <acc> <3p>
tamir	tamir <n> <3s>
tamir	tamir <n> <3p>
etmeye	et <v> <D_mA> <n> <dat> <3s>
etmeye	et <v> <D_mA> <n> <dat> <3p>
etmeye	et <v> <neg> <t_opt> <3s>
etmeye	et <v> <neg> <t_opt> <3p>
etmeye	et <v> <vn_ma> <dat>
etmeye	et <v> <vn_ma> <dat> <3s>
etmeye	et <v> <vn_ma> <dat> <3p>
etmeye	et <v> <vn_mak> <dat>
etmeye	et <v> <vn_mak> <dat> <3s>
etmeye	et <v> <vn_mak> <dat> <3p>
etmeye	et <v> <vinf> <dat>
çalışırken,	çalış <v> <t_aor> <3p> <cpl_ken>
aşçı	aşçı <n> <3s>
aşçı	aşçı <n> <3p>
aşçı	aş <n> <D_CI> <adj>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n> <3s>
aşçı	aş <n> <D_CI> <adj> <Djn_0> <n> <3p>
aşçı	aş <n> <D_CI> <n>
aşçı	aş <n> <D_CI> <n> <3s>
aşçı	aş <n> <D_CI> <n> <3p>
aşçı	aş <v> <D_CI> <n>
aşçı	aş <v> <D_CI> <n> <3s>
aşçı	aş <v> <D_CI> <n> <3p>
çorba	çorba <n> <3s>
çorba	çorba <n> <3p>
kazanını	kazan <n> <p2s> <acc> <3s>
kazanını	kazan <n> <p2s> <acc> <3p>
kazanını	kazan <n> <p3s> <acc>
kazanını	kazan <n> <p3s> <acc> <3s>
kazanını	kazan <n> <p3s> <acc> <3p>
kazanını	kaz <v> <part_yan> <p2s> <acc>
kazanını	kaz <v> <part_yan> <p2s> <acc> <3s>
kazanını	kaz <v> <part_yan> <p2s> <acc> <3p>
kazanını	kaz <v> <part_yan> <p3s> <acc>
kazanını	kaz <v> <part_yan> <p3s> <acc> <3s>
kazanını	kaz <v> <part_yan> <p3s> <acc> <3p>
ateşten	ateş <n> <abl> <3s>
ateşten	ateş <n> <abl> <3p>
çıkardı	çıkar <n> <cpl_di> <3p>
çıkardı	çıkar <n> <3p> <cpl_di>
çıkardı	çıkar <v> <t_past> <3s>
çıkardı	çıkar <v> <t_past> <3p>
çıkardı	çık <v> <t_aor> <cpl_di> <3s>
çıkardı	çık <v> <t_aor> <cpl_di> <3p>
çıkardı	çık <v> <t_aor> <3p> <cpl_di>
ve	ve <cnjadv>
hemen	hemen <adv> <Dan_0> <n>
hemen	hemen <adv> <Dan_0> <n> <3s>
hemen	hemen <adv> <Dan_0> <n> <3p>
hemen	hemen <n>
hemen	hemen <n> <3s>
hemen	hemen <n> <3p>
erişebildiği	eriş <v> <abil> <vn_dik> <p3s> <3s>
erişebildiği	eriş <v> <abil> <vn_dik> <p3s> <3p>
erişebildiği	eriş <v> <abil> <vn_dik> <acc>
erişebildiği	eriş <v> <abil> <vn_dik> <acc> <3s>
erişebildiği	eriş <v> <abil> <vn_dik> <acc> <3p>
erişebildiği	eriş <v> <abil> <part_dik> <p3s>
erişebildiği	eriş <v> <abil> <part_dik> <p3s> <3s>
erişebildiği	eriş <v> <abil> <part_dik> <p3s> <3p>
erişebildiği	eriş <v> <abil> <part_dik> <acc>
erişebildiği	eriş <v> <abil> <part_dik> <acc> <3s>
erişebildiği	eriş <v> <abil> <part_dik> <acc> <3p>
erişebildiği	eriş <v> <abil> <cv_dik> <p3s>
her	<unk>
şeyi	şey <n> <p3s> <3s>
şeyi	şey <n> <p3s> <3p>
şeyi	şey <n> <acc>
şeyi	şey <n> <acc> <3s>
şeyi	şey <n> <acc> <3p>
Düşes	düşes <n> <3s>
Düşes	düşes <n> <3p>
ve	ve <cnjadv>
bebeğe	bebek <n> <dat> <3s>
bebeğe	bebek <n> <dat> <3p>
fırlatmaya	fırla <v> <caus> <neg> <t_opt> <3p>
fırlatmaya	fırla <v> <caus> <vn_ma> <dat>
fırlatmaya	fırla <v> <caus> <vn_ma> <dat> <3s>
fırlatmaya	fırla <v> <caus> <vn_ma> <dat> <3p>
fırlatmaya	fırla <v> <caus> <vn_mak> <dat>
fırlatmaya	fırla <v> <caus> <vn_mak> <dat> <3s>
fırlatmaya	fırla <v> <caus> <vn_mak> <dat> <3p>
fırlatmaya	fırla <v> <caus> <vinf> <dat>
başladıönce	<unk>
ateş	ateş <n> <3s>
ateş	ateş <n> <3p>
demirleri	demir <n> <pl> <p3s> <3s>
demirleri	demir <n> <pl> <p3s> <3p>
demirleri	demir <n> <pl> <acc>
demirleri	demir <n> <pl> <acc> <3s>
demirleri	demir <n> <pl> <acc> <3p>
demirleri	demir <n> <p3p>
demirleri	demir <n> <p3p> <3s>
demirleri	demir <n> <p3p> <3p>
geldi;	gel <v> <t_past> <3p>
ardından	art <n> <p2s> <abl> <3s>
ardından	art <n> <p2s> <abl> <3p>
ardından	art <n> <p3s> <abl>
ardından	art <n> <p3s> <abl> <3s>
ardından	art <n> <p3s> <abl> <3p>
tencere,	tencere <n> <3s>
tencere,	tencere <n> <3p>
tabak	tabak <n> <3s>
tabak	tabak <n> <3p>
ve	ve <cnjadv>
tabaklardan	tabak <n> <pl> <abl> <3s>
tabaklardan	tabak <n> <pl> <abl> <3p>
oluşan	oluş <v> <part_yan> <3s>
oluşan	oluş <v> <part_yan> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
sağanak	sağanak <n> <3s>
sağanak	sağanak <n> <3p>
geldi.	gel <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Düşes,	düşes <n> <3s>
Düşes,	düşes <n> <3p>
ona	ona <v> <t_imp> <3p>
ona	on <n> <dat>
ona	on <n> <dat> <3s>
ona	on <n> <dat> <3p>
ona	on <v> <t_opt> <3s>
ona	on <v> <t_opt> <3p>
ona	on <num> <Dmn_0> <n> <dat>
ona	on <num> <Dmn_0> <n> <dat> <3s>
ona	on <num> <Dmn_0> <n> <dat> <3p>
ona	o <prn> <pers> <dat>
ona	o <prn> <pers> <dat> <3s>
ona	o <prn> <pers> <dat> <3p>
çarptıklarında	çarp <v> <part_dik> <pl> <p2s> <loc> <3s>
çarptıklarında	çarp <v> <part_dik> <pl> <p2s> <loc> <3p>
çarptıklarında	çarp <v> <part_dik> <pl> <p3s> <loc>
çarptıklarında	çarp <v> <part_dik> <pl> <p3s> <loc> <3s>
çarptıklarında	çarp <v> <part_dik> <pl> <p3s> <loc> <3p>
çarptıklarında	çarp <v> <part_dik> <p3p> <loc>
çarptıklarında	çarp <v> <part_dik> <p3p> <loc> <3s>
çarptıklarında	çarp <v> <part_dik> <p3p> <loc> <3p>
bile	bile <cnjadv>
bile	bil <v> <t_opt> <3s>
bile	bil <v> <t_opt> <3p>
onlara	onlar <prn> <pers> <dat> <3s>
onlara	onlar <prn> <pers> <dat> <3p>
onlara	on <n> <pl> <dat>
onlara	on <n> <pl> <dat> <3s>
onlara	on <n> <pl> <dat> <3p>
onlara	on <num> <Dmn_0> <n> <pl> <dat>
onlara	on <num> <Dmn_0> <n> <pl> <dat> <3s>
onlara	on <num> <Dmn_0> <n> <pl> <dat> <3p>
onlara	o <prn> <pers> <pl> <dat>
onlara	o <prn> <pers> <pl> <dat> <3s>
onlara	o <prn> <pers> <pl> <dat> <3p>
aldırmadı;	al <v> <caus> <neg> <t_past> <3p>
ve	ve <cnjadv>
bebek	bebek <n> <3s>
bebek	bebek <n> <3p>
zaten	zaten <adv> <Dan_0> <n>
zaten	zaten <adv> <Dan_0> <n> <3s>
zaten	zaten <adv> <Dan_0> <n> <3p>
zaten	zaten <n>
zaten	zaten <n> <3s>
zaten	zaten <n> <3p>
zaten	zaten <cnjadv>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
kadar	<unk>
çok	çok <adj> <Djn_0> <n>
çok	çok <adj> <Djn_0> <n> <3s>
çok	çok <adj> <Djn_0> <n> <3p>
çok	çok <adv>
çok	çok <adv> <Dan_0> <n>
çok	çok <adv> <Dan_0> <n> <3s>
çok	çok <adv> <Dan_0> <n> <3p>
çok	çok <det>
bağırıyordu	bağır <v> <t_cont> <cpl_di> <3p>
bağırıyordu	bağır <v> <t_cont> <3p> <cpl_di>
ki,	ki <cnjadv>
darbelerin	darbe <n> <pl> <p2s> <3s>
darbelerin	darbe <n> <pl> <p2s> <3p>
darbelerin	darbe <n> <pl> <gen>
darbelerin	darbe <n> <pl> <gen> <3s>
darbelerin	darbe <n> <pl> <gen> <3p>
onu	on <n> <p3s> <3s>
onu	on <n> <p3s> <3p>
onu	on <n> <acc>
onu	on <n> <acc> <3s>
onu	on <n> <acc> <3p>
onu	on <num> <Dmn_0> <n> <p3s>
onu	on <num> <Dmn_0> <n> <p3s> <3s>
onu	on <num> <Dmn_0> <n> <p3s> <3p>
onu	on <num> <Dmn_0> <n> <acc>
onu	on <num> <Dmn_0> <n> <acc> <3s>
onu	on <num> <Dmn_0> <n> <acc> <3p>
onu	o <prn> <pers> <p3s>
onu	o <prn> <pers> <p3s> <3s>
onu	o <prn> <pers> <p3s> <3p>
onu	o <prn> <pers> <acc>
onu	o <prn> <pers> <acc> <3s>
onu	o <prn> <pers> <acc> <3p>
yaralayıp	yara <n> <D_lA> <v> <cv_ip>
incitmediğini	incit <v> <neg> <vn_dik> <p2s> <acc> <3s>
incitmediğini	incit <v> <neg> <vn_dik> <p2s> <acc> <3p>
incitmediğini	incit <v> <neg> <vn_dik> <p3s> <acc>
incitmediğini	incit <v> <neg> <vn_dik> <p3s> <acc> <3s>
incitmediğini	incit <v> <neg> <vn_dik> <p3s> <acc> <3p>
incitmediğini	incit <v> <neg> <part_dik> <p2s> <acc>
incitmediğini	incit <v> <neg> <part_dik> <p2s> <acc> <3s>
incitmediğini	incit <v> <neg> <part_dik> <p2s> <acc> <3p>
incitmediğini	incit <v> <neg> <part_dik> <p3s> <acc>
incitmediğini	incit <v> <neg> <part_dik> <p3s> <acc> <3s>
incitmediğini	incit <v> <neg> <part_dik> <p3s> <acc> <3p>
incitmediğini	incit <v> <neg> <cv_dik> <p3s> <acc>
söylemek	söyle <v> <vn_mak> <3s>
söylemek	söyle <v> <vn_mak> <3p>
söylemek	söyle <v> <vinf>
söylemek	söyle <v> <cv_mak>
neredeyse	neredeyse <adv> <Dan_0> <n>
neredeyse	neredeyse <adv> <Dan_0> <n> <3s>
neredeyse	neredeyse <adv> <Dan_0> <n> <3p>
neredeyse	nere <prn> <qst> <loc> <cpl_sa> <3s>
neredeyse	nere <prn> <qst> <loc> <cpl_sa> <3p>
neredeyse	nere <prn> <qst> <loc> <3p> <cpl_sa>
imkansızdı.	imkan <n> <Dnn_siz> <adj> <Djn_0> <n> <cpl_di> <3p>
