<S> <S>+BSTag
Ve	ve <cnjadv>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
yelpaze	yelpaze <adj> <Djn_0> <n>
yelpaze	yelpaze <adj> <Djn_0> <n> <3s>
yelpaze	yelpaze <adj> <Djn_0> <n> <3p>
yelpaze	yelpaze <n>
yelpaze	yelpaze <n> <3s>
yelpaze	yelpaze <n> <3p>
vardı.	varit <n> <p3s> <3s>
vardı.	varit <n> <p3s> <3p>
vardı.	varit <n> <acc>
vardı.	varit <n> <acc> <3s>
vardı.	varit <n> <acc> <3p>
vardı.	var <n> <cpl_di> <3s>
vardı.	var <n> <cpl_di> <3p>
vardı.	var <n> <3p> <cpl_di>
vardı.	var <v> <t_past> <3s>
vardı.	var <v> <t_past> <3p>
vardı.	var <exist> <cpl_di> <3s>
vardı.	var <exist> <cpl_di> <3p>
vardı.	var <exist> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Koşarak	<unk>
geldi,	gel <v> <t_past> <3p>
gelirken	gelir <n> <3p> <cpl_ken>
gelirken	gel <v> <t_aor> <3s> <cpl_ken>
gelirken	gel <v> <t_aor> <3p> <cpl_ken>
kendi	kendi <n> <3s>
kendi	kendi <n> <3p>
kendi	kendi <prn>
kendi	kendi <prn> <3s>
kendi	kendi <prn> <3p>
kendine	kendi <n> <p2s> <dat> <3s>
kendine	kendi <n> <p2s> <dat> <3p>
kendine	kendi <prn> <p2s> <dat>
kendine	kendi <prn> <p2s> <dat> <3s>
kendine	kendi <prn> <p2s> <dat> <3p>
mırıldanıyordu.	mırıldan <v> <t_cont> <cpl_di> <3p>
mırıldanıyordu.	mırıldan <v> <t_cont> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
"Ah,	ah <n> <3s>
"Ah,	ah <n> <3p>
"Ah,	ah <ij>
Düşes!	düşes <n> <3s>
Düşes!	düşes <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Düşes!	düşes <n> <3s>
Düşes!	düşes <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Ah!	ah <n> <3s>
Ah!	ah <n> <3p>
Ah!	ah <ij>
</S> </S>+ESTag
<S> <S>+BSTag
Onu	on <n> <p3s> <3s>
Onu	on <n> <p3s> <3p>
Onu	on <n> <acc>
Onu	on <n> <acc> <3s>
Onu	on <n> <acc> <3p>
Onu	on <num> <Dmn_0> <n> <p3s>
Onu	on <num> <Dmn_0> <n> <p3s> <3s>
Onu	on <num> <Dmn_0> <n> <p3s> <3p>
Onu	on <num> <Dmn_0> <n> <acc>
Onu	on <num> <Dmn_0> <n> <acc> <3s>
Onu	on <num> <Dmn_0> <n> <acc> <3p>
Onu	o <prn> <pers> <p3s>
Onu	o <prn> <pers> <p3s> <3s>
Onu	o <prn> <pers> <p3s> <3p>
Onu	o <prn> <pers> <acc>
Onu	o <prn> <pers> <acc> <3s>
Onu	o <prn> <pers> <acc> <3p>
bekletmişsem,	<unk>
kız	kız <adj> <Djn_0> <n>
kız	kız <adj> <Djn_0> <n> <3s>
kız	kız <adj> <Djn_0> <n> <3p>
kız	kız <n>
kız	kız <n> <3s>
kız	kız <n> <3p>
kız	kız <v> <t_imp> <2s>
kız	kız <v> <t_imp> <3p>
vahşi	vahşi <adj> <Djn_0> <n>
vahşi	vahşi <adj> <Djn_0> <n> <3s>
vahşi	vahşi <adj> <Djn_0> <n> <3p>
olmaz	ol <v> <neg> <t_aor> <3p>
mı!"	<unk>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
kendini	kendi <n> <p2s> <acc> <3s>
kendini	kendi <n> <p2s> <acc> <3p>
kendini	kendi <prn> <p2s> <acc>
kendini	kendi <prn> <p2s> <acc> <3s>
kendini	kendi <prn> <p2s> <acc> <3p>
öyle	öyle <adj> <Djn_0> <n>
öyle	öyle <adj> <Djn_0> <n> <3s>
öyle	öyle <adj> <Djn_0> <n> <3p>
öyle	öyle <adv>
öyle	öyle <adv> <Dan_0> <n>
öyle	öyle <adv> <Dan_0> <n> <3s>
öyle	öyle <adv> <Dan_0> <n> <3p>
öyle	öyle <ij>
çaresiz	çare <n> <Dnn_siz> <adj> <Djn_0> <n>
çaresiz	çare <n> <Dnn_siz> <adj> <Djn_0> <n> <3s>
çaresiz	çare <n> <Dnn_siz> <adj> <Djn_0> <n> <3p>
çaresiz	çare <n> <Dnn_siz> <adv>
çaresiz	çare <n> <Dnn_siz> <adv> <Dan_0> <n>
çaresiz	çare <n> <Dnn_siz> <adv> <Dan_0> <n> <3s>
çaresiz	çare <n> <Dnn_siz> <adv> <Dan_0> <n> <3p>
hissediyordu	hisset <v> <t_cont> <cpl_di> <3p>
hissediyordu	hisset <v> <t_cont> <3p> <cpl_di>
ki,	ki <cnjadv>
birilerinden	birileri <prn> <p2s> <abl> <3s>
birilerinden	birileri <prn> <p2s> <abl> <3p>
birilerinden	biri <n> <pl> <p2s> <abl>
birilerinden	biri <n> <pl> <p2s> <abl> <3s>
birilerinden	biri <n> <pl> <p2s> <abl> <3p>
birilerinden	biri <n> <pl> <p3s> <abl>
birilerinden	biri <n> <pl> <p3s> <abl> <3s>
birilerinden	biri <n> <pl> <p3s> <abl> <3p>
birilerinden	biri <n> <p3p> <abl>
birilerinden	biri <n> <p3p> <abl> <3s>
birilerinden	biri <n> <p3p> <abl> <3p>
yardım	yardım <n> <3s>
yardım	yardım <n> <3p>
yardım	yar <n> <cpl_di> <1s>
yardım	yar <v> <t_past> <1s>
istemeye	iste <v> <D_mA> <n> <dat> <3s>
istemeye	iste <v> <D_mA> <n> <dat> <3p>
istemeye	iste <v> <neg> <t_opt> <3s>
istemeye	iste <v> <neg> <t_opt> <3p>
istemeye	iste <v> <vn_ma> <dat>
istemeye	iste <v> <vn_ma> <dat> <3s>
istemeye	iste <v> <vn_ma> <dat> <3p>
istemeye	iste <v> <vn_mak> <dat>
istemeye	iste <v> <vn_mak> <dat> <3s>
istemeye	iste <v> <vn_mak> <dat> <3p>
istemeye	iste <v> <vinf> <dat>
hazırdı;	hazır <adj> <Djn_0> <n> <cpl_di> <3p>
hazırdı;	hazır <adj> <Djn_0> <n> <3p> <cpl_di>
hazırdı;	hazır <n> <cpl_di> <3s>
hazırdı;	hazır <n> <cpl_di> <3p>
hazırdı;	hazır <n> <3p> <cpl_di>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
yüzden	yüzde <n> <p2s> <3s>
yüzden	yüzde <n> <p2s> <3p>
yüzden	yüz <n> <abl>
yüzden	yüz <n> <abl> <3s>
yüzden	yüz <n> <abl> <3p>
yüzden	yüz <v> <cv_dan>
yüzden	yüz <num> <Dmn_0> <n> <abl>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3s>
yüzden	yüz <num> <Dmn_0> <n> <abl> <3p>
Tavşan	tavşan <n> <3s>
Tavşan	tavşan <n> <3p>
yanına	yan <n> <p2s> <dat> <3s>
yanına	yan <n> <p2s> <dat> <3p>
yanına	yan <n> <p3s> <dat>
yanına	yan <n> <p3s> <dat> <3s>
yanına	yan <n> <p3s> <dat> <3p>
yaklaştığında,	yaklaş <v> <part_dik> <p2s> <loc> <3s>
yaklaştığında,	yaklaş <v> <part_dik> <p2s> <loc> <3p>
yaklaştığında,	yaklaş <v> <part_dik> <p3s> <loc>
yaklaştığında,	yaklaş <v> <part_dik> <p3s> <loc> <3s>
yaklaştığında,	yaklaş <v> <part_dik> <p3s> <loc> <3p>
yaklaştığında,	yaklaş <v> <cv_dik> <p3s> <loc>
alçak,	alçak <n> <3s>
alçak,	alçak <n> <3p>
ürkek	ürkek <adj> <Djn_0> <n>
ürkek	ürkek <adj> <Djn_0> <n> <3s>
ürkek	ürkek <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
sesle	sesle <v> <t_imp> <3p>
sesle	ses <n> <D_lA> <v> <t_imp> <2s>
sesle	ses <n> <D_lA> <v> <t_imp> <3p>
sesle	ses <n> <ins>
sesle	ses <n> <ins> <3s>
sesle	ses <n> <ins> <3p>
konuşmaya	konuşma <adj> <Djn_0> <n> <dat> <3s>
konuşmaya	konuşma <adj> <Djn_0> <n> <dat> <3p>
konuşmaya	konuş <v> <D_mA> <n> <dat>
konuşmaya	konuş <v> <D_mA> <n> <dat> <3s>
konuşmaya	konuş <v> <D_mA> <n> <dat> <3p>
konuşmaya	konuş <v> <neg> <t_opt> <3s>
konuşmaya	konuş <v> <neg> <t_opt> <3p>
konuşmaya	konuş <v> <vn_ma> <dat>
konuşmaya	konuş <v> <vn_ma> <dat> <3s>
konuşmaya	konuş <v> <vn_ma> <dat> <3p>
konuşmaya	konuş <v> <vn_mak> <dat>
konuşmaya	konuş <v> <vn_mak> <dat> <3s>
konuşmaya	konuş <v> <vn_mak> <dat> <3p>
konuşmaya	konuş <v> <vinf> <dat>
başladı:	baş <n> <D_lA> <v> <t_past> <3p>
“Affedersiniz,	<unk>
efendim	efendi <n> <p1s> <3s>
efendim	efendi <n> <p1s> <3p>
efendim	efe <n> <p2s> <cpl_di> <1s>
...”	<unk>
Tavşan	tavşan <n> <3s>
Tavşan	tavşan <n> <3p>
şiddetle	şiddet <n> <D_lA> <v> <t_imp> <3p>
şiddetle	şiddet <n> <ins>
şiddetle	şiddet <n> <ins> <3s>
şiddetle	şiddet <n> <ins> <3p>
başladı,	baş <n> <D_lA> <v> <t_past> <3p>
beyaz	beyaz <n> <3s>
beyaz	beyaz <n> <3p>
eldivenleri	eldiven <n> <pl> <p3s> <3s>
eldivenleri	eldiven <n> <pl> <p3s> <3p>
eldivenleri	eldiven <n> <pl> <acc>
eldivenleri	eldiven <n> <pl> <acc> <3s>
eldivenleri	eldiven <n> <pl> <acc> <3p>
eldivenleri	eldiven <n> <p3p>
eldivenleri	eldiven <n> <p3p> <3s>
eldivenleri	eldiven <n> <p3p> <3p>
ve	ve <cnjadv>
yelpazeyi	yelpaze <adj> <Djn_0> <n> <acc> <3s>
yelpazeyi	yelpaze <adj> <Djn_0> <n> <acc> <3p>
yelpazeyi	yelpaze <n> <acc>
yelpazeyi	yelpaze <n> <acc> <3s>
yelpazeyi	yelpaze <n> <acc> <3p>
yere	yer <n> <dat> <3s>
yere	yer <n> <dat> <3p>
yere	yer <v> <t_opt> <3s>
yere	yer <v> <t_opt> <3p>
düşürdü,	düş <v> <caus> <t_past> <3p>
gidebildiği	git <v> <abil> <vn_dik> <p3s> <3s>
gidebildiği	git <v> <abil> <vn_dik> <p3s> <3p>
gidebildiği	git <v> <abil> <vn_dik> <acc>
gidebildiği	git <v> <abil> <vn_dik> <acc> <3s>
gidebildiği	git <v> <abil> <vn_dik> <acc> <3p>
gidebildiği	git <v> <abil> <part_dik> <p3s>
gidebildiği	git <v> <abil> <part_dik> <p3s> <3s>
gidebildiği	git <v> <abil> <part_dik> <p3s> <3p>
gidebildiği	git <v> <abil> <part_dik> <acc>
gidebildiği	git <v> <abil> <part_dik> <acc> <3s>
gidebildiği	git <v> <abil> <part_dik> <acc> <3p>
gidebildiği	git <v> <abil> <cv_dik> <p3s>
kadar	<unk>
çok	çok <adj> <Djn_0> <n>
çok	çok <adj> <Djn_0> <n> <3s>
çok	çok <adj> <Djn_0> <n> <3p>
çok	çok <adv>
çok	çok <adv> <Dan_0> <n>
çok	çok <adv> <Dan_0> <n> <3s>
çok	çok <adv> <Dan_0> <n> <3p>
çok	çok <det>
karanlıkta	karanlık <adj> <Djn_0> <n> <loc> <3s>
karanlıkta	karanlık <adj> <Djn_0> <n> <loc> <3p>
karanlıkta	karanlık <n> <loc>
karanlıkta	karanlık <n> <loc> <3s>
karanlıkta	karanlık <n> <loc> <3p>
kaldı.	kal <n> <cpl_di> <3p>
kaldı.	kal <n> <3p> <cpl_di>
kaldı.	kal <v> <t_past> <3s>
kaldı.	kal <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Alis,	<unk>
yelpazeyle	yelpaze <adj> <Djn_0> <n> <ins> <3s>
yelpazeyle	yelpaze <adj> <Djn_0> <n> <ins> <3p>
yelpazeyle	yelpaze <n> <ins>
yelpazeyle	yelpaze <n> <ins> <3s>
yelpazeyle	yelpaze <n> <ins> <3p>
eldivenleri	eldiven <n> <pl> <p3s> <3s>
eldivenleri	eldiven <n> <pl> <p3s> <3p>
eldivenleri	eldiven <n> <pl> <acc>
eldivenleri	eldiven <n> <pl> <acc> <3s>
eldivenleri	eldiven <n> <pl> <acc> <3p>
eldivenleri	eldiven <n> <p3p>
eldivenleri	eldiven <n> <p3p> <3s>
eldivenleri	eldiven <n> <p3p> <3p>
eline	el <n> <p2s> <dat> <3s>
eline	el <n> <p2s> <dat> <3p>
eline	el <n> <p3s> <dat>
eline	el <n> <p3s> <dat> <3s>
eline	el <n> <p3s> <dat> <3p>
aldı,	al <adj> <Djn_0> <n> <cpl_di> <3p>
aldı,	al <adj> <Djn_0> <n> <3p> <cpl_di>
aldı,	al <n> <cpl_di> <3s>
aldı,	al <n> <cpl_di> <3p>
aldı,	al <n> <3p> <cpl_di>
aldı,	al <v> <t_past> <3s>
aldı,	al <v> <t_past> <3p>
salon	salon <n> <3s>
salon	salon <n> <3p>
çok	çok <adj> <Djn_0> <n>
çok	çok <adj> <Djn_0> <n> <3s>
çok	çok <adj> <Djn_0> <n> <3p>
çok	çok <adv>
çok	çok <adv> <Dan_0> <n>
çok	çok <adv> <Dan_0> <n> <3s>
çok	çok <adv> <Dan_0> <n> <3p>
çok	çok <det>
sıcak	sıcak <adj> <Djn_0> <n>
sıcak	sıcak <adj> <Djn_0> <n> <3s>
sıcak	sıcak <adj> <Djn_0> <n> <3p>
olduğu	ol <v> <vn_dik> <p3s> <3s>
olduğu	ol <v> <vn_dik> <p3s> <3p>
olduğu	ol <v> <vn_dik> <acc>
olduğu	ol <v> <vn_dik> <acc> <3s>
olduğu	ol <v> <vn_dik> <acc> <3p>
olduğu	ol <v> <part_dik> <p3s>
olduğu	ol <v> <part_dik> <p3s> <3s>
olduğu	ol <v> <part_dik> <p3s> <3p>
olduğu	ol <v> <part_dik> <acc>
olduğu	ol <v> <part_dik> <acc> <3s>
olduğu	ol <v> <part_dik> <acc> <3p>
olduğu	ol <v> <cv_dik> <p3s>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
durmadan	dur <v> <D_mA> <n> <abl> <3s>
durmadan	dur <v> <D_mA> <n> <abl> <3p>
durmadan	dur <v> <neg> <cv_dan>
durmadan	dur <v> <vn_ma> <abl>
durmadan	dur <v> <vn_ma> <abl> <3s>
durmadan	dur <v> <vn_ma> <abl> <3p>
yelpazelenmeye	yelpazele <v> <pass> <neg> <t_opt> <3p>
yelpazelenmeye	yelpazele <v> <pass> <vn_ma> <dat>
yelpazelenmeye	yelpazele <v> <pass> <vn_ma> <dat> <3s>
yelpazelenmeye	yelpazele <v> <pass> <vn_ma> <dat> <3p>
yelpazelenmeye	yelpazele <v> <pass> <vn_mak> <dat>
yelpazelenmeye	yelpazele <v> <pass> <vn_mak> <dat> <3s>
yelpazelenmeye	yelpazele <v> <pass> <vn_mak> <dat> <3p>
yelpazelenmeye	yelpazele <v> <pass> <vinf> <dat>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <D_mA> <n> <dat>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <D_mA> <n> <dat> <3s>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <D_mA> <n> <dat> <3p>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <neg> <t_opt> <3s>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <neg> <t_opt> <3p>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <vn_ma> <dat>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <vn_ma> <dat> <3s>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <vn_ma> <dat> <3p>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <vn_mak> <dat>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <vn_mak> <dat> <3s>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <vn_mak> <dat> <3p>
yelpazelenmeye	yelpaze <adj> <D_lAn> <v> <vinf> <dat>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <D_mA> <n> <dat>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <D_mA> <n> <dat> <3s>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <D_mA> <n> <dat> <3p>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <neg> <t_opt> <3s>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <neg> <t_opt> <3p>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <vn_ma> <dat>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <vn_ma> <dat> <3s>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <vn_ma> <dat> <3p>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <vn_mak> <dat>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <vn_mak> <dat> <3s>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <vn_mak> <dat> <3p>
yelpazelenmeye	yelpaze <adj> <Djn_0> <n> <D_lAn> <v> <vinf> <dat>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <D_mA> <n> <dat>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <D_mA> <n> <dat> <3s>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <D_mA> <n> <dat> <3p>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <neg> <t_opt> <3s>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <neg> <t_opt> <3p>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <vn_ma> <dat>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <vn_ma> <dat> <3s>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <vn_ma> <dat> <3p>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <vn_mak> <dat>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <vn_mak> <dat> <3s>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <vn_mak> <dat> <3p>
yelpazelenmeye	yelpaze <n> <D_lAn> <v> <vinf> <dat>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
etti,	et <n> <cpl_di> <3p>
etti,	et <n> <3p> <cpl_di>
etti,	et <v> <t_past> <3s>
etti,	et <v> <t_past> <3p>
konuşmaya	konuşma <adj> <Djn_0> <n> <dat> <3s>
konuşmaya	konuşma <adj> <Djn_0> <n> <dat> <3p>
konuşmaya	konuş <v> <D_mA> <n> <dat>
konuşmaya	konuş <v> <D_mA> <n> <dat> <3s>
konuşmaya	konuş <v> <D_mA> <n> <dat> <3p>
konuşmaya	konuş <v> <neg> <t_opt> <3s>
konuşmaya	konuş <v> <neg> <t_opt> <3p>
konuşmaya	konuş <v> <vn_ma> <dat>
konuşmaya	konuş <v> <vn_ma> <dat> <3s>
konuşmaya	konuş <v> <vn_ma> <dat> <3p>
konuşmaya	konuş <v> <vn_mak> <dat>
konuşmaya	konuş <v> <vn_mak> <dat> <3s>
konuşmaya	konuş <v> <vn_mak> <dat> <3p>
konuşmaya	konuş <v> <vinf> <dat>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
etti:	et <n> <cpl_di> <3p>
etti:	et <n> <3p> <cpl_di>
etti:	et <v> <t_past> <3s>
etti:	et <v> <t_past> <3p>
"Sevgilim,	sevgili <adj> <Djn_0> <n> <p1s> <3s>
"Sevgilim,	sevgili <adj> <Djn_0> <n> <p1s> <3p>
"Sevgilim,	sevgi <n> <D_lI> <adj> <Djn_0> <n> <p1s>
"Sevgilim,	sevgi <n> <D_lI> <adj> <Djn_0> <n> <p1s> <3s>
"Sevgilim,	sevgi <n> <D_lI> <adj> <Djn_0> <n> <p1s> <3p>
"Sevgilim,	sevgi <n> <D_lI> <n> <p1s>
"Sevgilim,	sevgi <n> <D_lI> <n> <p1s> <3s>
"Sevgilim,	sevgi <n> <D_lI> <n> <p1s> <3p>
bugün	bugün <adv> <Dan_0> <n>
bugün	bugün <adv> <Dan_0> <n> <3s>
bugün	bugün <adv> <Dan_0> <n> <3p>
bugün	bugün <n>
bugün	bugün <n> <3s>
bugün	bugün <n> <3p>
her	<unk>
şey	şey <n> <3s>
şey	şey <n> <3p>
ne	ne <prn> <qst> <3s>
ne	ne <prn> <qst> <3p>
ne	ne <cnjcoo>
tuhaf!	tuhaf <adj> <Djn_0> <n>
tuhaf!	tuhaf <adj> <Djn_0> <n> <3s>
tuhaf!	tuhaf <adj> <Djn_0> <n> <3p>
tuhaf!	tuhaf <n>
tuhaf!	tuhaf <n> <3s>
tuhaf!	tuhaf <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Dün	dün <adv> <Dan_0> <n>
Dün	dün <adv> <Dan_0> <n> <3s>
Dün	dün <adv> <Dan_0> <n> <3p>
Dün	dün <n>
Dün	dün <n> <3s>
Dün	dün <n> <3p>
her	<unk>
şey	şey <n> <3s>
şey	şey <n> <3p>
her	<unk>
zamanki	<unk>
gibiydi.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Acaba	acaba <adv> <Dan_0> <n>
Acaba	acaba <adv> <Dan_0> <n> <3s>
Acaba	acaba <adv> <Dan_0> <n> <3p>
Acaba	acaba <n>
Acaba	acaba <n> <3s>
Acaba	acaba <n> <3p>
ben	ben <prn> <pers> <3s>
ben	ben <prn> <pers> <3p>
gece	gece <n> <3s>
gece	gece <n> <3p>
gece	geç <adv> <Dan_0> <n> <dat>
gece	geç <adv> <Dan_0> <n> <dat> <3s>
gece	geç <adv> <Dan_0> <n> <dat> <3p>
değiştim	değ <v> <D_yIS> <n> <cpl_di> <1s>
değiştim	değ <v> <vn_yis> <cpl_di> <1s>
mi?	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Dur	dur <v> <t_imp> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
düşüneyim:	düşün <v> <t_opt> <1s>
düşüneyim:	düş <n> <p2s> <dat> <1s>
düşüneyim:	düş <n> <p3s> <dat> <1s>
Bu	bu <prn> <dem> <3s>
Bu	bu <prn> <dem> <3p>
Bu	bu <det>
sabah	sabah <n> <3s>
sabah	sabah <n> <3p>
kalktığımda	kalk <v> <part_dik> <p1s> <loc> <3s>
kalktığımda	kalk <v> <part_dik> <p1s> <loc> <3p>
ben	ben <prn> <pers> <3s>
ben	ben <prn> <pers> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
aynı	aynı <adj> <Djn_0> <n>
aynı	aynı <adj> <Djn_0> <n> <3s>
aynı	aynı <adj> <Djn_0> <n> <3p>
aynı	aynı <det>
aynı	ayn <n> <p3s>
aynı	ayn <n> <p3s> <3s>
aynı	ayn <n> <p3s> <3p>
aynı	ayn <n> <acc>
aynı	ayn <n> <acc> <3s>
aynı	ayn <n> <acc> <3p>
mıydım?	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Kendimi	kendi <n> <p1s> <acc> <3s>
Kendimi	kendi <n> <p1s> <acc> <3p>
Kendimi	kendi <prn> <p1s> <acc>
Kendimi	kendi <prn> <p1s> <acc> <3s>
Kendimi	kendi <prn> <p1s> <acc> <3p>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
farklı	fark <n> <D_lI> <adj> <Djn_0> <n>
farklı	fark <n> <D_lI> <adj> <Djn_0> <n> <3s>
farklı	fark <n> <D_lI> <adj> <Djn_0> <n> <3p>
farklı	fark <n> <D_lI> <n>
farklı	fark <n> <D_lI> <n> <3s>
farklı	fark <n> <D_lI> <n> <3p>
hissettiğimi	hisset <v> <part_dik> <p1s> <acc> <3s>
hissettiğimi	hisset <v> <part_dik> <p1s> <acc> <3p>
neredeyse	neredeyse <adv> <Dan_0> <n>
neredeyse	neredeyse <adv> <Dan_0> <n> <3s>
neredeyse	neredeyse <adv> <Dan_0> <n> <3p>
neredeyse	nere <prn> <qst> <loc> <cpl_sa> <3s>
neredeyse	nere <prn> <qst> <loc> <cpl_sa> <3p>
neredeyse	nere <prn> <qst> <loc> <3p> <cpl_sa>
hatırlıyorum.	hatır <n> <D_lA> <v> <t_cont> <1s>
</S> </S>+ESTag
<S> <S>+BSTag
Ama	ama <n> <3s>
Ama	ama <n> <3p>
Ama	ama <cnjcoo>
Ama	ama <cnjadv>
ben	ben <prn> <pers> <3s>
ben	ben <prn> <pers> <3p>
aynı	aynı <adj> <Djn_0> <n>
aynı	aynı <adj> <Djn_0> <n> <3s>
aynı	aynı <adj> <Djn_0> <n> <3p>
aynı	aynı <det>
aynı	ayn <n> <p3s>
aynı	ayn <n> <p3s> <3s>
aynı	ayn <n> <p3s> <3p>
aynı	ayn <n> <acc>
aynı	ayn <n> <acc> <3s>
aynı	ayn <n> <acc> <3p>
değilsem,	değ <v> <pass> <t_cond> <1s>
ikinci	iki <num> <D_IncI> <adj> <Djn_0> <n>
ikinci	iki <num> <D_IncI> <adj> <Djn_0> <n> <3s>
ikinci	iki <num> <D_IncI> <adj> <Djn_0> <n> <3p>
soru	soru <n> <3s>
soru	soru <n> <3p>
da	<unk>
şu:	şu <prn> <dem> <3s>
şu:	şu <prn> <dem> <3p>
şu:	şu <det>
Kimim	kimi <adv> <Dan_0> <n> <p1s> <3s>
