<S> <S>+BSTag
"Her	<unk>
zamanki	<unk>
gibi	gibi <cnjsub>
ıslak,"	ıslak <adj> <Djn_0> <n>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <D_mA> <n> <p2s> <gen>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <D_mA> <n> <p2s> <gen> <3s>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <D_mA> <n> <p2s> <gen> <3p>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <D_mA> <n> <gen>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <D_mA> <n> <gen> <3s>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <D_mA> <n> <gen> <3p>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <vn_ma> <p2s> <gen>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <vn_ma> <p2s> <gen> <3s>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <vn_ma> <p2s> <gen> <3p>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <vn_ma> <gen>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <vn_ma> <gen> <3s>
açıklamanın	açık <adv> <Dan_0> <n> <D_lA> <v> <vn_ma> <gen> <3p>
açıklamanın	açık <n> <D_lA> <v> <D_mA> <n> <p2s> <gen>
açıklamanın	açık <n> <D_lA> <v> <D_mA> <n> <p2s> <gen> <3s>
açıklamanın	açık <n> <D_lA> <v> <D_mA> <n> <p2s> <gen> <3p>
açıklamanın	açık <n> <D_lA> <v> <D_mA> <n> <gen>
açıklamanın	açık <n> <D_lA> <v> <D_mA> <n> <gen> <3s>
açıklamanın	açık <n> <D_lA> <v> <D_mA> <n> <gen> <3p>
açıklamanın	açık <n> <D_lA> <v> <vn_ma> <p2s> <gen>
açıklamanın	açık <n> <D_lA> <v> <vn_ma> <p2s> <gen> <3s>
açıklamanın	açık <n> <D_lA> <v> <vn_ma> <p2s> <gen> <3p>
açıklamanın	açık <n> <D_lA> <v> <vn_ma> <gen>
açıklamanın	açık <n> <D_lA> <v> <vn_ma> <gen> <3s>
açıklamanın	açık <n> <D_lA> <v> <vn_ma> <gen> <3p>
en	en <adv> <Dan_0> <n>
en	en <adv> <Dan_0> <n> <3s>
en	en <adv> <Dan_0> <n> <3p>
en	en <n>
en	en <n> <3s>
en	en <n> <3p>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
yolu	yol <n> <p3s> <3s>
yolu	yol <n> <p3s> <3p>
yolu	yol <n> <acc>
yolu	yol <n> <acc> <3s>
yolu	yol <n> <acc> <3p>
bunu	bun <n> <p3s> <3s>
bunu	bun <n> <p3s> <3p>
bunu	bun <n> <acc>
bunu	bun <n> <acc> <3s>
bunu	bun <n> <acc> <3p>
bunu	bu <prn> <dem> <p3s>
bunu	bu <prn> <dem> <p3s> <3s>
bunu	bu <prn> <dem> <p3s> <3p>
bunu	bu <prn> <dem> <acc>
bunu	bu <prn> <dem> <acc> <3s>
bunu	bu <prn> <dem> <acc> <3p>
yapmaktır."	yap <v> <vn_mak> <3p> <dir>
yapmaktır."	yap <v> <vn_mak> <dir> <3p>
(Ve	ve <cnjadv>
bunu	bun <n> <p3s> <3s>
bunu	bun <n> <p3s> <3p>
bunu	bun <n> <acc>
bunu	bun <n> <acc> <3s>
bunu	bun <n> <acc> <3p>
bunu	bu <prn> <dem> <p3s>
bunu	bu <prn> <dem> <p3s> <3s>
bunu	bu <prn> <dem> <p3s> <3p>
bunu	bu <prn> <dem> <acc>
bunu	bu <prn> <dem> <acc> <3s>
bunu	bu <prn> <dem> <acc> <3p>
kendiniz	kendi <n> <p2p>
kendiniz	kendi <n> <p2p> <3s>
kendiniz	kendi <n> <p2p> <3p>
kendiniz	kendi <prn> <p2s> <1p>
kendiniz	kendi <prn> <p2p>
kendiniz	kendi <prn> <p2p> <3s>
kendiniz	kendi <prn> <p2p> <3p>
denemek	dene <v> <vn_mak> <3s>
denemek	dene <v> <vn_mak> <3p>
denemek	dene <v> <vinf>
denemek	dene <v> <cv_mak>
isteyebileceğiniz	iste <v> <abil> <vn_acak> <p2p>
isteyebileceğiniz	iste <v> <abil> <vn_acak> <p2p> <3s>
isteyebileceğiniz	iste <v> <abil> <vn_acak> <p2p> <3p>
isteyebileceğiniz	iste <v> <abil> <vn_acak> <gen> <1p>
isteyebileceğiniz	iste <v> <abil> <part_acak> <p2s> <1p>
isteyebileceğiniz	iste <v> <abil> <part_acak> <p2p>
isteyebileceğiniz	iste <v> <abil> <part_acak> <p2p> <3s>
isteyebileceğiniz	iste <v> <abil> <part_acak> <p2p> <3p>
isteyebileceğiniz	iste <v> <abil> <part_acak> <gen> <1p>
gibi,	gibi <cnjsub>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
kış	kış <n> <3s>
kış	kış <n> <3p>
günü,	günü <n> <3s>
günü,	günü <n> <3p>
günü,	gün <n> <p3s>
günü,	gün <n> <p3s> <3s>
günü,	gün <n> <p3s> <3p>
günü,	gün <n> <acc>
günü,	gün <n> <acc> <3s>
günü,	gün <n> <acc> <3p>
size	siz <prn> <pers> <dat> <3s>
size	siz <prn> <pers> <dat> <3p>
Dodo'nun	<unk>
bunu	bun <n> <p3s> <3s>
bunu	bun <n> <p3s> <3p>
bunu	bun <n> <acc>
bunu	bun <n> <acc> <3s>
bunu	bun <n> <acc> <3p>
bunu	bu <prn> <dem> <p3s>
bunu	bu <prn> <dem> <p3s> <3s>
bunu	bu <prn> <dem> <p3s> <3p>
bunu	bu <prn> <dem> <acc>
bunu	bu <prn> <dem> <acc> <3s>
bunu	bu <prn> <dem> <acc> <3p>
nasıl	nasıl <adv> <Dan_0> <n>
nasıl	nasıl <adv> <Dan_0> <n> <3s>
nasıl	nasıl <adv> <Dan_0> <n> <3p>
başardığını	başar <v> <vn_dik> <p2s> <acc> <3s>
başardığını	başar <v> <vn_dik> <p2s> <acc> <3p>
başardığını	başar <v> <vn_dik> <p3s> <acc>
başardığını	başar <v> <vn_dik> <p3s> <acc> <3s>
başardığını	başar <v> <vn_dik> <p3s> <acc> <3p>
başardığını	başar <v> <part_dik> <p2s> <acc>
başardığını	başar <v> <part_dik> <p2s> <acc> <3s>
başardığını	başar <v> <part_dik> <p2s> <acc> <3p>
başardığını	başar <v> <part_dik> <p3s> <acc>
başardığını	başar <v> <part_dik> <p3s> <acc> <3s>
başardığını	başar <v> <part_dik> <p3s> <acc> <3p>
başardığını	başar <v> <cv_dik> <p3s> <acc>
anlatacağım.)	anlat <v> <vn_acak> <1s>
anlatacağım.)	anlat <v> <vn_acak> <p1s>
anlatacağım.)	anlat <v> <vn_acak> <p1s> <3s>
anlatacağım.)	anlat <v> <vn_acak> <p1s> <3p>
anlatacağım.)	anlat <v> <part_acak> <1s>
anlatacağım.)	anlat <v> <part_acak> <p1s>
anlatacağım.)	anlat <v> <part_acak> <p1s> <3s>
anlatacağım.)	anlat <v> <part_acak> <p1s> <3p>
anlatacağım.)	anla <v> <caus> <t_fut> <1s>
anlatacağım.)	anla <v> <caus> <vn_acak> <1s>
anlatacağım.)	anla <v> <caus> <vn_acak> <p1s>
anlatacağım.)	anla <v> <caus> <vn_acak> <p1s> <3s>
anlatacağım.)	anla <v> <caus> <vn_acak> <p1s> <3p>
anlatacağım.)	anla <v> <caus> <part_acak> <1s>
anlatacağım.)	anla <v> <caus> <part_acak> <p1s>
anlatacağım.)	anla <v> <caus> <part_acak> <p1s> <3s>
anlatacağım.)	anla <v> <caus> <part_acak> <p1s> <3p>
Önce	önce <adv> <Dan_0> <n>
Önce	önce <adv> <Dan_0> <n> <3s>
Önce	önce <adv> <Dan_0> <n> <3p>
Önce	önce <postp>
Önce	ön <n> <D_CA> <adj>
Önce	ön <n> <D_CA> <adj> <Djn_0> <n>
Önce	ön <n> <D_CA> <adj> <Djn_0> <n> <3s>
Önce	ön <n> <D_CA> <adj> <Djn_0> <n> <3p>
Önce	ön <n> <D_CA> <adv>
Önce	ön <n> <D_CA> <adv> <Dan_0> <n>
Önce	ön <n> <D_CA> <adv> <Dan_0> <n> <3s>
Önce	ön <n> <D_CA> <adv> <Dan_0> <n> <3p>
Önce	ön <n> <D_CA> <n>
Önce	ön <n> <D_CA> <n> <3s>
Önce	ön <n> <D_CA> <n> <3p>
Önce	ön <n> <ca>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
tür	tür <n> <3s>
tür	tür <n> <3p>
daire	daire <n> <3s>
daire	daire <n> <3p>
şeklinde	şekli <n> <p2s> <loc> <3s>
şeklinde	şekli <n> <p2s> <loc> <3p>
şeklinde	şekil <n> <p2s> <loc>
şeklinde	şekil <n> <p2s> <loc> <3s>
şeklinde	şekil <n> <p2s> <loc> <3p>
şeklinde	şekil <n> <p3s> <loc>
şeklinde	şekil <n> <p3s> <loc> <3s>
şeklinde	şekil <n> <p3s> <loc> <3p>
şeklinde	şek <n> <D_lI> <adj> <Djn_0> <n> <p2s> <loc>
şeklinde	şek <n> <D_lI> <adj> <Djn_0> <n> <p2s> <loc> <3s>
şeklinde	şek <n> <D_lI> <adj> <Djn_0> <n> <p2s> <loc> <3p>
şeklinde	şek <n> <D_lI> <n> <p2s> <loc>
şeklinde	şek <n> <D_lI> <n> <p2s> <loc> <3s>
şeklinde	şek <n> <D_lI> <n> <p2s> <loc> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
yarış	yarış <n> <3s>
yarış	yarış <n> <3p>
yarış	yarış <v> <t_imp> <2s>
yarış	yarış <v> <t_imp> <3p>
yarış	yar <v> <D_yIS> <n>
yarış	yar <v> <D_yIS> <n> <3s>
yarış	yar <v> <D_yIS> <n> <3p>
yarış	yar <v> <vn_yis>
yarış	yar <v> <vn_yis> <3s>
yarış	yar <v> <vn_yis> <3p>
parkurunu	parkur <n> <p2s> <acc> <3s>
parkurunu	parkur <n> <p2s> <acc> <3p>
parkurunu	parkur <n> <p3s> <acc>
parkurunu	parkur <n> <p3s> <acc> <3s>
parkurunu	parkur <n> <p3s> <acc> <3p>
işaretledi	işaretle <v> <t_past> <3p>
işaretledi	işaret <n> <D_lA> <v> <t_past> <3s>
işaretledi	işaret <n> <D_lA> <v> <t_past> <3p>
("tam	tam <adj> <Djn_0> <n>
("tam	tam <adj> <Djn_0> <n> <3s>
("tam	tam <adj> <Djn_0> <n> <3p>
şeklin	şekli <n> <p2s> <3s>
şeklin	şekli <n> <p2s> <3p>
şeklin	şekil <n> <p2s>
şeklin	şekil <n> <p2s> <3s>
şeklin	şekil <n> <p2s> <3p>
şeklin	şekil <n> <gen>
şeklin	şekil <n> <gen> <3s>
şeklin	şekil <n> <gen> <3p>
şeklin	şek <n> <D_lI> <adj> <Djn_0> <n> <p2s>
şeklin	şek <n> <D_lI> <adj> <Djn_0> <n> <p2s> <3s>
şeklin	şek <n> <D_lI> <adj> <Djn_0> <n> <p2s> <3p>
şeklin	şek <n> <D_lI> <n> <p2s>
şeklin	şek <n> <D_lI> <n> <p2s> <3s>
şeklin	şek <n> <D_lI> <n> <p2s> <3p>
önemi	önem <n> <p3s> <3s>
önemi	önem <n> <p3s> <3p>
önemi	önem <n> <acc>
önemi	önem <n> <acc> <3s>
önemi	önem <n> <acc> <3p>
yok,"	yok <adj> <Djn_0> <n>
yok,"	yok <adj> <Djn_0> <n> <3s>
yok,"	yok <adj> <Djn_0> <n> <3p>
yok,"	yok <adv>
yok,"	yok <adv> <Dan_0> <n>
yok,"	yok <adv> <Dan_0> <n> <3s>
yok,"	yok <adv> <Dan_0> <n> <3p>
yok,"	yok <cnjadv>
yok,"	yok <nexist> <3s>
yok,"	yok <nexist> <3p>
dedi,)	de <v> <t_past> <3p>
ve	ve <cnjadv>
sonra	sonra <adv> <Dan_0> <n>
sonra	sonra <adv> <Dan_0> <n> <3s>
sonra	sonra <adv> <Dan_0> <n> <3p>
sonra	sonra <n>
sonra	sonra <n> <3s>
sonra	sonra <n> <3p>
sonra	sonra <postp>
sonra	sonra <cnjadv>
tüm	tüm <adj> <Djn_0> <n>
tüm	tüm <adj> <Djn_0> <n> <3s>
tüm	tüm <adj> <Djn_0> <n> <3p>
tüm	tüm <det>
grup	grup <n> <3s>
grup	grup <n> <3p>
parkur	parkur <n> <3s>
parkur	parkur <n> <3p>
boyunca,	boyun <n> <D_CA> <adj>
boyunca,	boyun <n> <D_CA> <adj> <Djn_0> <n>
boyunca,	boyun <n> <D_CA> <adj> <Djn_0> <n> <3s>
boyunca,	boyun <n> <D_CA> <adj> <Djn_0> <n> <3p>
boyunca,	boyun <n> <D_CA> <adv>
boyunca,	boyun <n> <D_CA> <adv> <Dan_0> <n>
boyunca,	boyun <n> <D_CA> <adv> <Dan_0> <n> <3s>
boyunca,	boyun <n> <D_CA> <adv> <Dan_0> <n> <3p>
boyunca,	boyun <n> <D_CA> <n>
boyunca,	boyun <n> <D_CA> <n> <3s>
boyunca,	boyun <n> <D_CA> <n> <3p>
boyunca,	boyun <n> <ca>
boyunca,	boy <n> <p2s> <ca>
boyunca,	boy <n> <p3s> <ca>
burada	bura <prn> <locp> <loc> <3s>
burada	bura <prn> <locp> <loc> <3p>
ve	ve <cnjadv>
orada	ora <prn> <locp> <loc> <3s>
orada	ora <prn> <locp> <loc> <3p>
yerleştirildi.	yerleş <v> <caus> <pass> <t_past> <3p>
yerleştirildi.	yer <n> <D_lAs> <v> <caus> <pass> <t_past> <3s>
yerleştirildi.	yer <n> <D_lAs> <v> <caus> <pass> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Bir,	bir <adj> <Djn_0> <n>
"Bir,	bir <adj> <Djn_0> <n> <3s>
"Bir,	bir <adj> <Djn_0> <n> <3p>
"Bir,	bir <num>
"Bir,	bir <num> <Dmn_0> <n>
"Bir,	bir <num> <Dmn_0> <n> <3s>
"Bir,	bir <num> <Dmn_0> <n> <3p>
"Bir,	bir <det>
iki,	iki <num> <Dmn_0> <n>
iki,	iki <num> <Dmn_0> <n> <3s>
iki,	iki <num> <Dmn_0> <n> <3p>
üç	üç <n> <3s>
üç	üç <n> <3p>
üç	üç <num>
üç	üç <num> <Dmn_0> <n>
üç	üç <num> <Dmn_0> <n> <3s>
üç	üç <num> <Dmn_0> <n> <3p>
ve	ve <cnjadv>
uzakta"	uzak <adj> <Djn_0> <n> <loc> <3s>
uzakta"	uzak <adj> <Djn_0> <n> <loc> <3p>
yoktu,	yok <adj> <Djn_0> <n> <cpl_di> <3p>
yoktu,	yok <adj> <Djn_0> <n> <3p> <cpl_di>
yoktu,	yok <adv> <Dan_0> <n> <cpl_di> <3s>
yoktu,	yok <adv> <Dan_0> <n> <cpl_di> <3p>
yoktu,	yok <adv> <Dan_0> <n> <3p> <cpl_di>
yoktu,	yok <nexist> <cpl_di> <3s>
yoktu,	yok <nexist> <cpl_di> <3p>
yoktu,	yok <nexist> <3p> <cpl_di>
ama	ama <n> <3s>
ama	ama <n> <3p>
ama	ama <cnjcoo>
ama	ama <cnjadv>
istedikleri	iste <v> <vn_dik> <p3p> <3s>
istedikleri	iste <v> <vn_dik> <p3p> <3p>
istedikleri	iste <v> <part_dik> <pl> <p3s>
istedikleri	iste <v> <part_dik> <pl> <p3s> <3s>
istedikleri	iste <v> <part_dik> <pl> <p3s> <3p>
istedikleri	iste <v> <part_dik> <pl> <acc>
istedikleri	iste <v> <part_dik> <pl> <acc> <3s>
istedikleri	iste <v> <part_dik> <pl> <acc> <3p>
istedikleri	iste <v> <part_dik> <p3p>
istedikleri	iste <v> <part_dik> <p3p> <3s>
istedikleri	iste <v> <part_dik> <p3p> <3p>
zaman	zaman <n> <3s>
zaman	zaman <n> <3p>
koşmaya	koş <v> <D_mA> <n> <dat> <3s>
koşmaya	koş <v> <D_mA> <n> <dat> <3p>
koşmaya	koş <v> <neg> <t_opt> <3s>
koşmaya	koş <v> <neg> <t_opt> <3p>
koşmaya	koş <v> <vn_ma> <dat>
koşmaya	koş <v> <vn_ma> <dat> <3s>
koşmaya	koş <v> <vn_ma> <dat> <3p>
koşmaya	koş <v> <vn_mak> <dat>
koşmaya	koş <v> <vn_mak> <dat> <3s>
koşmaya	koş <v> <vn_mak> <dat> <3p>
koşmaya	koş <v> <vinf> <dat>
başladılar	<unk>
ve	ve <cnjadv>
istedikleri	iste <v> <vn_dik> <p3p> <3s>
istedikleri	iste <v> <vn_dik> <p3p> <3p>
istedikleri	iste <v> <part_dik> <pl> <p3s>
istedikleri	iste <v> <part_dik> <pl> <p3s> <3s>
istedikleri	iste <v> <part_dik> <pl> <p3s> <3p>
istedikleri	iste <v> <part_dik> <pl> <acc>
istedikleri	iste <v> <part_dik> <pl> <acc> <3s>
istedikleri	iste <v> <part_dik> <pl> <acc> <3p>
istedikleri	iste <v> <part_dik> <p3p>
istedikleri	iste <v> <part_dik> <p3p> <3s>
istedikleri	iste <v> <part_dik> <p3p> <3p>
zaman	zaman <n> <3s>
zaman	zaman <n> <3p>
bıraktılar,	<unk>
böylece	böylece <adv> <Dan_0> <n>
böylece	böylece <adv> <Dan_0> <n> <3s>
böylece	böylece <adv> <Dan_0> <n> <3p>
böylece	böyle <adj> <D_CA> <adj>
böylece	böyle <adj> <D_CA> <adj> <Djn_0> <n>
böylece	böyle <adj> <D_CA> <adj> <Djn_0> <n> <3s>
böylece	böyle <adj> <D_CA> <adj> <Djn_0> <n> <3p>
böylece	böyle <adj> <Djn_0> <n> <D_CA> <adj>
böylece	böyle <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n>
böylece	böyle <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3s>
böylece	böyle <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3p>
böylece	böyle <adj> <Djn_0> <n> <D_CA> <adv>
böylece	böyle <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n>
böylece	böyle <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3s>
böylece	böyle <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3p>
böylece	böyle <adj> <Djn_0> <n> <D_CA> <n>
böylece	böyle <adj> <Djn_0> <n> <D_CA> <n> <3s>
böylece	böyle <adj> <Djn_0> <n> <D_CA> <n> <3p>
böylece	böyle <adv> <Dan_0> <n> <D_CA> <adj>
böylece	böyle <adv> <Dan_0> <n> <D_CA> <adj> <Djn_0> <n>
böylece	böyle <adv> <Dan_0> <n> <D_CA> <adj> <Djn_0> <n> <3s>
böylece	böyle <adv> <Dan_0> <n> <D_CA> <adj> <Djn_0> <n> <3p>
böylece	böyle <adv> <Dan_0> <n> <D_CA> <adv>
böylece	böyle <adv> <Dan_0> <n> <D_CA> <adv> <Dan_0> <n>
böylece	böyle <adv> <Dan_0> <n> <D_CA> <adv> <Dan_0> <n> <3s>
böylece	böyle <adv> <Dan_0> <n> <D_CA> <adv> <Dan_0> <n> <3p>
böylece	böyle <adv> <Dan_0> <n> <D_CA> <n>
böylece	böyle <adv> <Dan_0> <n> <D_CA> <n> <3s>
böylece	böyle <adv> <Dan_0> <n> <D_CA> <n> <3p>
yarışın	yarış <n> <p2s> <3s>
yarışın	yarış <n> <p2s> <3p>
yarışın	yarış <n> <gen>
yarışın	yarış <n> <gen> <3s>
yarışın	yarış <n> <gen> <3p>
yarışın	yarış <v> <t_imp> <2p>
yarışın	yar <v> <D_yIS> <n> <p2s>
yarışın	yar <v> <D_yIS> <n> <p2s> <3s>
yarışın	yar <v> <D_yIS> <n> <p2s> <3p>
yarışın	yar <v> <D_yIS> <n> <gen>
yarışın	yar <v> <D_yIS> <n> <gen> <3s>
yarışın	yar <v> <D_yIS> <n> <gen> <3p>
yarışın	yar <v> <vn_yis> <p2s>
yarışın	yar <v> <vn_yis> <p2s> <3s>
yarışın	yar <v> <vn_yis> <p2s> <3p>
yarışın	yar <v> <vn_yis> <gen>
yarışın	yar <v> <vn_yis> <gen> <3s>
yarışın	yar <v> <vn_yis> <gen> <3p>
ne	ne <prn> <qst> <3s>
ne	ne <prn> <qst> <3p>
ne	ne <cnjcoo>
zaman	zaman <n> <3s>
zaman	zaman <n> <3p>
bittiğini	bit <v> <part_dik> <p2s> <acc> <3s>
bittiğini	bit <v> <part_dik> <p2s> <acc> <3p>
bittiğini	bit <v> <part_dik> <p3s> <acc>
bittiğini	bit <v> <part_dik> <p3s> <acc> <3s>
bittiğini	bit <v> <part_dik> <p3s> <acc> <3p>
bittiğini	bit <v> <cv_dik> <p3s> <acc>
bilmek	bil <v> <vn_mak> <3s>
bilmek	bil <v> <vn_mak> <3p>
bilmek	bil <v> <vinf>
bilmek	bil <v> <cv_mak>
kolay	kolay <n> <3s>
kolay	kolay <n> <3p>
değildi.	değil <not> <cpl_di> <3p>
değildi.	değil <not> <3p> <cpl_di>
değildi.	değ <v> <pass> <t_past> <3s>
değildi.	değ <v> <pass> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Ancak,	ancak <adv> <Dan_0> <n>
Ancak,	ancak <adv> <Dan_0> <n> <3s>
Ancak,	ancak <adv> <Dan_0> <n> <3p>
Ancak,	ancak <cnjcoo>
Ancak,	ancak <cnjadv>
Ancak,	an <n> <D_CAK> <n>
Ancak,	an <n> <D_CAK> <n> <3s>
Ancak,	an <n> <D_CAK> <n> <3p>
yarım	yarım <n> <3s>
yarım	yarım <n> <3p>
yarım	yarı <adj> <Djn_0> <n> <p1s>
yarım	yarı <adj> <Djn_0> <n> <p1s> <3s>
yarım	yarı <adj> <Djn_0> <n> <p1s> <3p>
yarım	yarı <n> <p1s>
yarım	yarı <n> <p1s> <3s>
yarım	yarı <n> <p1s> <3p>
yarım	yar <n> <1s>
yarım	yar <n> <p1s>
yarım	yar <n> <p1s> <3s>
yarım	yar <n> <p1s> <3p>
saat	saat <n> <3s>
saat	saat <n> <3p>
kadar	<unk>
koştuklarında	koş <v> <part_dik> <pl> <p2s> <loc> <3s>
koştuklarında	koş <v> <part_dik> <pl> <p2s> <loc> <3p>
koştuklarında	koş <v> <part_dik> <pl> <p3s> <loc>
koştuklarında	koş <v> <part_dik> <pl> <p3s> <loc> <3s>
koştuklarında	koş <v> <part_dik> <pl> <p3s> <loc> <3p>
koştuklarında	koş <v> <part_dik> <p3p> <loc>
koştuklarında	koş <v> <part_dik> <p3p> <loc> <3s>
koştuklarında	koş <v> <part_dik> <p3p> <loc> <3p>
ve	ve <cnjadv>
tekrar	tekrar <adv> <Dan_0> <n>
tekrar	tekrar <adv> <Dan_0> <n> <3s>
tekrar	tekrar <adv> <Dan_0> <n> <3p>
tekrar	tekrar <n>
tekrar	tekrar <n> <3s>
tekrar	tekrar <n> <3p>
tamamen	tamamen <adv> <Dan_0> <n>
tamamen	tamamen <adv> <Dan_0> <n> <3s>
tamamen	tamamen <adv> <Dan_0> <n> <3p>
kuruduklarında,	kuru <v> <vn_dik> <p3p> <loc> <3s>
kuruduklarında,	kuru <v> <vn_dik> <p3p> <loc> <3p>
kuruduklarında,	kuru <v> <part_dik> <pl> <p2s> <loc>
kuruduklarında,	kuru <v> <part_dik> <pl> <p2s> <loc> <3s>
kuruduklarında,	kuru <v> <part_dik> <pl> <p2s> <loc> <3p>
kuruduklarında,	kuru <v> <part_dik> <pl> <p3s> <loc>
kuruduklarında,	kuru <v> <part_dik> <pl> <p3s> <loc> <3s>
kuruduklarında,	kuru <v> <part_dik> <pl> <p3s> <loc> <3p>
kuruduklarında,	kuru <v> <part_dik> <p3p> <loc>
kuruduklarında,	kuru <v> <part_dik> <p3p> <loc> <3s>
kuruduklarında,	kuru <v> <part_dik> <p3p> <loc> <3p>
Dodo	<unk>
aniden	aniden <adv> <Dan_0> <n>
aniden	aniden <adv> <Dan_0> <n> <3s>
aniden	aniden <adv> <Dan_0> <n> <3p>
aniden	anide <adv> <Dan_0> <n> <p2s>
aniden	anide <adv> <Dan_0> <n> <p2s> <3s>
aniden	anide <adv> <Dan_0> <n> <p2s> <3p>
aniden	anide <n> <p2s>
aniden	anide <n> <p2s> <3s>
aniden	anide <n> <p2s> <3p>
aniden	ani <n> <abl>
aniden	ani <n> <abl> <3s>
aniden	ani <n> <abl> <3p>
"Yarış	yarış <n> <3s>
"Yarış	yarış <n> <3p>
"Yarış	yarış <v> <t_imp> <2s>
"Yarış	yarış <v> <t_imp> <3p>
"Yarış	yar <v> <D_yIS> <n>
"Yarış	yar <v> <D_yIS> <n> <3s>
"Yarış	yar <v> <D_yIS> <n> <3p>
"Yarış	yar <v> <vn_yis>
"Yarış	yar <v> <vn_yis> <3s>
"Yarış	yar <v> <vn_yis> <3p>
bitti!"	bit <n> <cpl_di> <3p>
bitti!"	bit <n> <3p> <cpl_di>
bitti!"	bit <v> <t_past> <3s>
bitti!"	bit <v> <t_past> <3p>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
seslendi	sesle <v> <pass> <t_past> <3p>
seslendi	ses <n> <D_lAn> <v> <t_past> <3s>
seslendi	ses <n> <D_lAn> <v> <t_past> <3p>
ve	ve <cnjadv>
hepsi	hepsi <prn> <3s>
hepsi	hepsi <prn> <3p>
etrafında	etraf <n> <p2s> <loc> <3s>
etrafında	etraf <n> <p2s> <loc> <3p>
etrafında	etraf <n> <p3s> <loc>
etrafında	etraf <n> <p3s> <loc> <3s>
etrafında	etraf <n> <p3s> <loc> <3p>
toplandı,	topla <n> <p2s> <cpl_di> <3p>
toplandı,	topla <n> <p2s> <3p> <cpl_di>
toplandı,	topla <v> <pass> <t_past> <3s>
toplandı,	topla <v> <pass> <t_past> <3p>
toplandı,	top <n> <D_lAn> <v> <t_past> <3s>
toplandı,	top <n> <D_lAn> <v> <t_past> <3p>
nefes	nefes <n> <3s>
nefes	nefes <n> <3p>
nefese	nefes <n> <dat> <3s>
nefese	nefes <n> <dat> <3p>
kaldı	kal <n> <cpl_di> <3p>
kaldı	kal <n> <3p> <cpl_di>
kaldı	kal <v> <t_past> <3s>
kaldı	kal <v> <t_past> <3p>
ve	ve <cnjadv>
"Ama	ama <n> <3s>
"Ama	ama <n> <3p>
"Ama	ama <cnjcoo>
"Ama	ama <cnjadv>
kim	kim <prn> <qst> <3s>
kim	kim <prn> <qst> <3p>
kazandı?"	kazan <n> <cpl_di> <3p>
kazandı?"	kazan <n> <3p> <cpl_di>
kazandı?"	kazan <v> <t_past> <3s>
kazandı?"	kazan <v> <t_past> <3p>
kazandı?"	kaza <n> <p2s> <cpl_di> <3s>
kazandı?"	kaza <n> <p2s> <cpl_di> <3p>
kazandı?"	kaza <n> <p2s> <3p> <cpl_di>
kazandı?"	kaz <v> <part_yan> <cpl_di> <3s>
kazandı?"	kaz <v> <part_yan> <cpl_di> <3p>
